verb_fr	verb_de	noun_fr	noun_de
céder	nachgeben	le droit	das Recht
célébrer	feiern	l'anniversaire	der Geburtstag
célébrer	feiern	l'événement	das Ereignis
célébrer	feiern	la réussite	der Erfolg
côtoyer	nebenbei leben	l'ami	der Freund
côtoyer	nebenbei leben	le collègue	der Kollege
côtoyer	nebenbei leben	le voisin	der Nachbar
daigner	geruhen	l'action	die Handlung
daigner	geruhen	la réponse	die Antwort
daigner	geruhen	la visite	der Besuch
damer	damen	la carte	die Karte
damer	damen	la main	die Hand
damer	damen	le jeu	das Spiel
danser	tanzen	la musique	die Musik
danser	tanzen	la soirée	der Abend
danser	tanzen	le ballet	das Ballett
dater	datieren	l'événement	das Ereignis
dater	datieren	la lettre	der Brief
dater	datieren	le document	das Dokument
demander	fragen	l'aide	die Hilfe
demander	fragen	l'information	die Information
demander	fragen	la question	die Frage
demeurer	wohnen	l'endroit	der Ort
demeurer	wohnen	la maison	das Haus
demeurer	wohnen	la ville	die Stadt
descendre	hinuntergehen	la montagne	der Berg
descendre	hinuntergehen	la route	die Straße
desservir	abservieren	la table	der Tisch
desservir	abservieren	le plat	das Gericht
desservir	abservieren	le repas	die Mahlzeit
dessiner	zeichnen	l'image	das Bild
dessiner	zeichnen	le plan	der Plan
dessécher	trocknen	la plante	die Pflanze
dessécher	trocknen	le vêtement	das Kleidungsstück
destiner	bestimmen	l'objet	der Gegenstand
destiner	bestimmen	la personne	die Person
destiner	bestimmen	la ressource	die Ressource
devancer	vorwegnehmen	l'action	die Handlung
devancer	vorwegnehmen	l'événement	das Ereignis
devenir	werden	la chose	die Sache
devenir	werden	la personne	die Person
devenir	werden	la profession	der Beruf
deviner	erraten	l'énigme	das Rätsel
deviner	erraten	la réponse	die Antwort
deviner	erraten	la situation	die Situation
deviser	reden	la conversation	das Gespräch
deviser	reden	le sujet	das Thema
deviser	reden	le thème	das Thema
devoir	müssen	la responsabilité	die Verantwortung
devoir	müssen	temps	die Zeit
diagnostiquer	diagnostizieren	la maladie	die Krankheit
diagnostiquer	diagnostizieren	la situation	die Situation
diagnostiquer	diagnostizieren	le problème	das Problem
dialoguer	dialogisieren	l'échange	der Austausch
dialoguer	dialogisieren	la conversation	das Gespräch
dialoguer	dialogisieren	la discussion	die Diskussion
dicter	diktieren	l'instruction	die Anweisung
dicter	diktieren	la lettre	der Brief
dicter	diktieren	le texte	der Text
diffuser	verbreiten	l'information	die Information
diffuser	verbreiten	le contenu	der Inhalt
diffuser	verbreiten	le message	die Nachricht
différencier	differenzieren	la caractéristique	das Merkmal
différencier	differenzieren	le produit	das Produkt
différencier	differenzieren	le service	der Dienst
différer	abweichen	l'approche	der Ansatz
différer	abweichen	l'opinion	die Meinung
différer	abweichen	le choix	die Wahl
dilater	dehnen	le tissu	der Stoff
dilater	dehnen	le tube	das Rohr
dilater	dehnen	le vaisseau	das Gefäß
diluer	verdünnen	la peinture	die Malerei
diluer	verdünnen	la solution	die Lösung
diluer	verdünnen	le jus	der Saft
diminuer	verringern	le coût	die Kosten
diminuer	verringern	le risque	das Risiko
diminuer	verringern	temps	die Zeit
diplômer	diplomieren	l'école	die Schule
diplômer	diplomieren	l'étudiant	der Student
diplômer	diplomieren	la promotion	die Förderung
dire	sagen	la chose	die Sache
dire	sagen	la vérité	die Wahrheit
dire	sagen	le mot	das Wort
diriger	leiten	l'équipe	die Mannschaft
diriger	leiten	la réunion	das Treffen
diriger	leiten	le projet	das Projekt
discipliner	disziplinieren	l'enfant	das Kind
discipliner	disziplinieren	l'élève	der Schüler
discipliner	disziplinieren	le comportement	das Verhalten
discréditer	diskreditieren	l'information	die Information
discréditer	diskreditieren	la personne	die Person
discréditer	diskreditieren	le témoignage	das Zeugnis
discuter	diskutieren	de l'idée	die Idee
discuter	diskutieren	du problème	das Problem
discuter	diskutieren	du sujet	das Thema
disparaître	verschwinden	l'objet	der Gegenstand
disparaître	verschwinden	la personne	die Person
disparaître	verschwinden	la situation	die Situation
dispenser	entlassen	la formation	die Ausbildung
dispenser	entlassen	le service	der Dienst
disperser	streuen	le groupe	der Gruppe
disputer	streiten	la discussion	die Diskussion
disputer	streiten	le conflit	der Konflikt
disputer	streiten	le sujet	das Thema
dissimuler	verbergen	l'information	die Information
dissimuler	verbergen	l'émotion	die Emotion
dissimuler	verbergen	le secret	das Geheimnis
dissiper	vertreiben	la tension	die Spannung
dissiper	vertreiben	le doute	der Zweifel
dissiper	vertreiben	le nuage	die Wolke
dissoudre	auflösen	la substance	die Substanz
dissoudre	auflösen	le sel	das Salz
dissoudre	auflösen	le sucre	der Zucker
dissuader	abwenden	l'action	die Handlung
dissuader	abwenden	la personne	die Person
dissuader	abwenden	le comportement	das Verhalten
disséminer	streuen	l'information	die Information
distancer	distanzieren	la personne	die Person
distancer	distanzieren	la situation	die Situation
distancer	distanzieren	le groupe	der Gruppe
distancier	distanzieren	l'approche	der Ansatz
distancier	distanzieren	la position	die Position
distancier	distanzieren	la relation	die Beziehung
distiller	destillieren	l'alcool	der Alkohol
distiller	destillieren	l'essence	die Essenz
distinguer	unterscheiden	l'élément	das Element
distinguer	unterscheiden	la caractéristique	das Merkmal
distinguer	unterscheiden	la différence	der Unterschied
distraire	ablenken	l'auditoire	das Publikum
distraire	ablenken	l'enfant	das Kind
distraire	ablenken	l'étudiant	der Student
distribuer	verteilen	l'argent	das Geld
diversifier	diversifizieren	l'offre	das Angebot
diviser	teilen	la tâche	die Aufgabe
diviser	teilen	le groupe	der Gruppe
diviser	teilen	le nombre	die Zahl
divorcer	scheiden	la relation	die Beziehung
divorcer	scheiden	le couple	das Paar
divorcer	scheiden	le mariage	die Ehe
dominer	dominieren	la situation	die Situation
dominer	dominieren	le groupe	der Gruppe
dominer	dominieren	le marché	der Markt
dompter	zähmen	l'animal	das Tier
dompter	zähmen	la bête	das Tier
dompter	zähmen	la nature	die Natur
donner	geben	l'aide	die Hilfe
donner	geben	la réponse	die Antwort
donner	geben	le cadeau	das Geschenk
dorer	vergolden	la croûte	die Kruste
dorer	vergolden	la surface	die Oberfläche
dorer	vergolden	le pain	das Brot
dormir	schlafen	la chambre	das Zimmer
dormir	schlafen	la nuit	die Nacht
dormir	schlafen	le lit	das Bett
doser	dosieren	l'ingrédient	der Bestandteil
doser	dosieren	la substance	die Substanz
doser	dosieren	le médicament	das Medikament
doter	ausstatten	l'équipe	die Mannschaft
doter	ausstatten	le projet	das Projekt
doubler	verdoppeln	l'effort	der Aufwand
doubler	verdoppeln	le nombre	die Zahl
doubler	verdoppeln	temps	die Zeit
doucher	duschen	le corps	der Körper
doucher	duschen	le savon	die Seife
douer	begabten	l'artiste	der Künstler
douer	begabten	l'enfant	das Kind
douer	begabten	le musicien	der Musiker
douter	zweifeln	de la réalité	die Realität
douter	zweifeln	de la situation	die Situation
douter	zweifeln	du choix	die Wahl
dracher	herunterziehen	l'objet	der Gegenstand
dracher	herunterziehen	le rideau	der Vorhang
dracher	herunterziehen	le vêtement	das Kleidungsstück
drainer	ableiten	l'eau	das Wasser
drainer	ableiten	l'énergie	die Energie
drainer	ableiten	le sang	das Blut
dramatiser	dramatisieren	l'histoire	die Geschichte
dramatiser	dramatisieren	l'événement	das Ereignis
dramatiser	dramatisieren	la situation	die Situation
dresser	aufstellen	la liste	die Liste
dresser	aufstellen	la table	der Tisch
dresser	aufstellen	le rapport	der Bericht
durcir	härten	la matière	das Material
durcir	härten	la pâte	der Teig
durcir	härten	le ciment	der Zement
durer	dauern	l'événement	das Ereignis
durer	dauern	le moment	der Moment
durer	dauern	temps	die Zeit
dynamiser	beleben	l'activité	die Aktivität
dynamiser	beleben	l'équipe	die Mannschaft
dynamiser	beleben	le projet	das Projekt
déambuler	bummeln	la rue	die Straße
déambuler	bummeln	le magasin	der Laden
déambuler	bummeln	le parc	der Park
débarbouiller	abwaschen	la vaisselle	das Geschirr
débarbouiller	abwaschen	le visage	das Gesicht
débarquer	anlegen	la marchandise	die Ware
débarquer	anlegen	le bateau	das Boot
débarrasser	befreien	l'esprit	der Geist
débarrasser	befreien	la salle	der Raum
débattre	debattieren	l'idée	die Idee
débattre	debattieren	la question	die Frage
débattre	debattieren	le sujet	das Thema
déborder	überlaufen	le seau	der Eimer
déborder	überlaufen	le verre	das Glas
déboucher	öffnen	la bouteille	die Flasche
déboucher	öffnen	le chemin	der Weg
déboucher	öffnen	le tuyau	das Rohr
débouler	herunterkommen	la colline	der Hügel
débouler	herunterkommen	la route	die Straße
débourser	ausgeben	l'argent	das Geld
débourser	ausgeben	le montant	der Betrag
débrancher	abziehen	l'appareil	das Gerät
débrancher	abziehen	le câble	das Kabel
débrider	freigeben	l'énergie	die Energie
débrider	freigeben	le moteur	der Motor
débrider	freigeben	le potentiel	das Potenzial
débrouiller	zurechtkommen	la difficulté	die Schwierigkeit
débrouiller	zurechtkommen	la situation	die Situation
débrouiller	zurechtkommen	le problème	das Problem
débuter	beginnen	l'activité	die Aktivität
débuter	beginnen	le projet	das Projekt
décacheter	öffnen	l'enveloppe	der Umschlag
décacheter	öffnen	la lettre	der Brief
décacheter	öffnen	le paquet	das Paket
décaler	verschieben	l'échéance	die Frist
décaler	verschieben	la réunion	das Treffen
décaler	verschieben	le rendez-vous	der Termin
décamper	fliehen	l'endroit	der Ort
décamper	fliehen	la situation	die Situation
décamper	fliehen	le danger	die Gefahr
décapiter	enthaupten	l'objet	der Gegenstand
décapiter	enthaupten	la personne	die Person
décapiter	enthaupten	la victime	das Opfer
déceler	entdecken	l'anomalie	die Anomalie
déceler	entdecken	l'erreur	der Fehler
déceler	entdecken	le problème	das Problem
décentraliser	dezentralisieren	l'administration	die Verwaltung
décentraliser	dezentralisieren	la décision	die Entscheidung
décerné	verleihen	la récompense	die Belohnung
décerné	verleihen	le diplôme	das Diplom
décerné	verleihen	le prix	der Preis
décevoir	enttäuschen	l'ami	der Freund
décevoir	enttäuschen	l'attente	die Erwartung
décevoir	enttäuschen	le client	der Kunde
déchaîner	entfesseln	la tempête	der Sturm
déchaîner	entfesseln	la violence	die Gewalt
déchiffrer	entschlüsseln	le code	der Code
déchiffrer	entschlüsseln	le message	die Nachricht
déchiffrer	entschlüsseln	le texte	der Text
déchirer	reißen	la lettre	der Brief
déchirer	reißen	le papier	das Papier
déchirer	reißen	le vêtement	das Kleidungsstück
décider	entscheiden	l'action	die Handlung
décider	entscheiden	la situation	die Situation
décider	entscheiden	le choix	die Wahl
déclarer	erklären	l'intention	die Absicht
déclarer	erklären	la guerre	der Krieg
déclarer	erklären	la situation	die Situation
déclencher	auslösen	l'alarme	der Alarm
déclencher	auslösen	l'événement	das Ereignis
décliner	ablehnen	l'invitation	die Einladung
décliner	ablehnen	l'offre	das Angebot
décliner	ablehnen	une proposition	der Vorschlag
décoller	abheben	l'avion	das Flugzeug
décoller	abheben	le bateau	das Boot
décompresser	entspannen	la tension	die Spannung
décompresser	entspannen	le stress	der Stress
déconcerter	verwirren	la personne	die Person
déconcerter	verwirren	la réponse	die Antwort
déconcerter	verwirren	la situation	die Situation
déconnecter	trennen	l'appareil	das Gerät
déconnecter	trennen	l'ordinateur	der Computer
déconnecter	trennen	le câble	das Kabel
déconseiller	abraten	l'action	die Handlung
déconseiller	abraten	la décision	die Entscheidung
déconseiller	abraten	le choix	die Wahl
décontracter	entspannen	l'atmosphère	die Atmosphäre
décontracter	entspannen	l'esprit	der Geist
décontracter	entspannen	le muscle	der Muskel
décorer	dekorieren	la maison	das Haus
décorer	dekorieren	la table	der Tisch
décorer	dekorieren	le sapin	der Tannenbaum
décorner	abbrechen	l'animal	das Tier
décorner	abbrechen	l'objet	der Gegenstand
décorner	abbrechen	la situation	die Situation
décortiquer	schälen	la noix	die Nuss
décortiquer	schälen	le fruit	die Frucht
décortiquer	schälen	le légume	das Gemüse
découler	resultieren	l'événement	das Ereignis
découler	resultieren	la situation	die Situation
découler	resultieren	une conséquence	die Konsequenz
découper	ausschneiden	l'image	das Bild
découper	ausschneiden	la viande	das Fleisch
découper	ausschneiden	le papier	das Papier
décourager	entmutigen	l'enfant	das Kind
décourager	entmutigen	l'équipe	die Mannschaft
décourager	entmutigen	la personne	die Person
découvrir	entdecken	l'idée	die Idee
découvrir	entdecken	le lieu	der Ort
découvrir	entdecken	le talent	das Talent
décrier	herabsetzen	l'idée	die Idee
décrier	herabsetzen	la personne	die Person
décrier	herabsetzen	le système	das System
décrire	beschreiben	l'objet	der Gegenstand
décrire	beschreiben	la personne	die Person
décrire	beschreiben	la situation	die Situation
décrocher	abnehmen	le prix	der Preis
décrocher	abnehmen	le téléphone	das Telefon
décrypter	entschlüsseln	le code	der Code
décrypter	entschlüsseln	le message	die Nachricht
décrypter	entschlüsseln	le texte	der Text
décréter	dekretieren	la loi	das Gesetz
décréter	dekretieren	la mesure	das Maß
décréter	dekretieren	le règlement	die Regelung
déculpabiliser	entlasten	la personne	die Person
déculpabiliser	entlasten	la situation	die Situation
déculpabiliser	entlasten	le sentiment	das Gefühl
décéder	sterben	l'animal	das Tier
décéder	sterben	la personne	die Person
décéder	sterben	le patient	der Patient
dédaigner	verachten	l'idée	die Idee
dédaigner	verachten	la personne	die Person
dédaigner	verachten	la situation	die Situation
dédicacer	widmen	l'œuvre	das Werk
dédicacer	widmen	la chanson	das Lied
dédicacer	widmen	le livre	das Buch
dédier	widmen	l'œuvre	das Werk
dédier	widmen	temps	die Zeit
dédoubler	verdoppeln	l'effectif	die Anzahl
dédoubler	verdoppeln	la ressource	die Ressource
dédoubler	verdoppeln	le groupe	der Gruppe
dédramatiser	entdramatisieren	l'événement	das Ereignis
dédramatiser	entdramatisieren	la situation	die Situation
dédramatiser	entdramatisieren	le problème	das Problem
déduire	ableiten	l'information	die Information
déduire	ableiten	la conclusion	der Schluss
déduire	ableiten	le résultat	das Ergebnis
défaillir	ohnmächtig werden	la personne	die Person
défaillir	ohnmächtig werden	la situation	die Situation
défaillir	ohnmächtig werden	le moment	der Moment
défaire	auflösen	le contrat	der Vertrag
défaire	auflösen	le groupe	der Gruppe
défavoriser	benachteiligen	l'individu	das Individuum
défavoriser	benachteiligen	la situation	die Situation
défavoriser	benachteiligen	le groupe	der Gruppe
défendre	verteidigen	l'opinion	die Meinung
défendre	verteidigen	le droit	das Recht
défendre	verteidigen	le territoire	das Gebiet
défier	herausfordern	l'adversaire	der Gegner
défier	herausfordern	l'ami	der Freund
défier	herausfordern	l'opposant	der Gegner
défiger	versteifen	l'objet	der Gegenstand
défiger	versteifen	la structure	die Struktur
défiger	versteifen	le matériau	das Material
défigurer	entstellen	l'œuvre	das Werk
défigurer	entstellen	le paysage	die Landschaft
défigurer	entstellen	le visage	das Gesicht
défiler	parade	la banderole	das Banner
défiler	parade	le cortège	der Zug
définir	definieren	le concept	das Konzept
définir	definieren	le projet	das Projekt
définir	definieren	le terme	der Begriff
défoncer	aufbrechen	la porte	die Tür
défoncer	aufbrechen	le coffre	die Truhe
défoncer	aufbrechen	le mur	die Wand
dégager	freisetzen	l'espace	der Raum
dégager	freisetzen	une odeur	der Geruch
dégainer	ziehen	l'arme	die Waffe
dégainer	ziehen	le couteau	das Messer
dégainer	ziehen	une épée	das Schwert
dégeler	auftauen	la glace	das Eis
dégeler	auftauen	la nourriture	die Nahrung
dégeler	auftauen	le sol	der Boden
dégotter	finden	l'objet	der Gegenstand
dégotter	finden	la solution	die Lösung
dégotter	finden	le trésor	der Schatz
dégourdir	aufwecken	l'esprit	der Geist
dégourdir	aufwecken	le corps	der Körper
dégourdir	aufwecken	le muscle	der Muskel
dégoûter	ekeln	la nourriture	die Nahrung
dégoûter	ekeln	la situation	die Situation
dégoûter	ekeln	une odeur	der Geruch
dégrader	verschlechtern	l'environnement	die Umwelt
dégrader	verschlechtern	la qualité	die Qualität
dégrader	verschlechtern	la situation	die Situation
déguiser	verkleiden	l'enfant	das Kind
déguiser	verkleiden	le costume	der Anzug
déguiser	verkleiden	le personnage	die Figur
déguster	kosten	le dessert	der Nachtisch
déguster	kosten	le plat	das Gericht
déguster	kosten	le vin	der Wein
déjouer	vereiteln	l'attaque	der Angriff
déjouer	vereiteln	la stratégie	die Strategie
déjouer	vereiteln	le plan	der Plan
délaisser	verlassen	l'endroit	der Ort
délaisser	verlassen	la personne	die Person
délaisser	verlassen	le projet	das Projekt
délibérer	beraten	la question	die Frage
délibérer	beraten	le groupe	der Gruppe
délibérer	beraten	le sujet	das Thema
délier	lösen	le contrat	der Vertrag
délier	lösen	le lien	die Verbindung
délimiter	abgrenzen	l'espace	der Raum
délimiter	abgrenzen	la zone	die Zone
délimiter	abgrenzen	le territoire	das Gebiet
délivrer	ausliefern	l'ordre	die Ordnung
délivrer	ausliefern	le colis	das Paket
délivrer	ausliefern	le message	die Nachricht
délocaliser	verlagern	l'activité	die Aktivität
délocaliser	verlagern	l'entreprise	die Firma
délocaliser	verlagern	la production	die Produktion
déléguer	delegieren	la responsabilité	die Verantwortung
déléguer	delegieren	la tâche	die Aufgabe
démanteler	demontieren	la machine	die Maschine
démanteler	demontieren	la structure	die Struktur
démanteler	demontieren	le réseau	das Netzwerk
démaquiller	abschminken	la peau	die Haut
démaquiller	abschminken	le maquillage	das Make-up
démaquiller	abschminken	le visage	das Gesicht
démarquer	abheben	la marque	die Marke
démarquer	abheben	le produit	das Produkt
démarrer	starten	la réunion	das Treffen
démarrer	starten	le moteur	der Motor
démarrer	starten	le projet	das Projekt
démasquer	entlarven	la vérité	die Wahrheit
démasquer	entlarven	le masque	die Maske
démasquer	entlarven	le secret	das Geheimnis
démener	sich abmühen	l'effort	der Aufwand
démener	sich abmühen	le travail	die Arbeit
démentir	widerlegen	l'accusation	die Anklage
démentir	widerlegen	l'affirmation	die Behauptung
démentir	widerlegen	la rumeur	das Gerücht
démissionner	kündigen	l'emploi	die Anstellung
démissionner	kündigen	le contrat	der Vertrag
démissionner	kündigen	le poste	der Posten
démolir	abreißen	la structure	die Struktur
démolir	abreißen	le bâtiment	das Gebäude
démolir	abreißen	le mur	die Wand
démonter	demontieren	l'objet	der Gegenstand
démonter	demontieren	la machine	die Maschine
démonter	demontieren	le meuble	das Möbel
démontrer	demonstrieren	la capacité	die Fähigkeit
démontrer	demonstrieren	la preuve	der Beweis
démontrer	demonstrieren	le concept	das Konzept
démonétiser	entwerten	la monnaie	das Geld
démonétiser	entwerten	la valeur	der Wert
démonétiser	entwerten	le billet	das Ticket
démoraliser	demoralisieren	l'équipe	die Mannschaft
démoraliser	demoralisieren	la personne	die Person
démoraliser	demoralisieren	la situation	die Situation
démunir	entziehen	l'aide	die Hilfe
démunir	entziehen	le soutien	die Unterstützung
déménager	umziehen	la maison	das Haus
déménager	umziehen	le carton	der Karton
déménager	umziehen	le mobilier	das Mobiliar
démêler	entwirren	la situation	die Situation
démêler	entwirren	le problème	das Problem
dénaturer	entfremden	la nature	die Natur
dénaturer	entfremden	la substance	die Substanz
dénaturer	entfremden	le produit	das Produkt
dénicher	entdecken	l'information	die Information
dénicher	entdecken	l'objet	der Gegenstand
dénicher	entdecken	le trésor	der Schatz
dénigrer	herabsetzen	l'idée	die Idee
dénigrer	herabsetzen	la personne	die Person
dénigrer	herabsetzen	le travail	die Arbeit
dénommer	benennen	l'objet	der Gegenstand
dénommer	benennen	la personne	die Person
dénommer	benennen	le lieu	der Ort
dénoncer	anzeigen	l'abus	der Missbrauch
dénoncer	anzeigen	la situation	die Situation
dénoncer	anzeigen	le crime	das Verbrechen
dénoter	bezeichnen	la signification	die Bedeutung
dénoter	bezeichnen	le symbole	das Symbol
dénoter	bezeichnen	le terme	der Begriff
dénouer	entwirren	la situation	die Situation
dénouer	entwirren	le problème	das Problem
dénoyauter	entsteinen	l'olive	die Olive
dénoyauter	entsteinen	la cerise	die Kirsche
dénoyauter	entsteinen	le fruit	die Frucht
dénuer	entblößen	la personne	die Person
dépasser	überholen	l'attente	die Erwartung
dépasser	überholen	la limite	die Grenze
dépasser	überholen	la vitesse	die Geschwindigkeit
dépassionner	entkräften	la discussion	die Diskussion
dépassionner	entkräften	le débat	die Debatte
dépassionner	entkräften	le sujet	das Thema
dépeindre	darstellen	la scène	die Szene
dépeindre	darstellen	la situation	die Situation
dépeindre	darstellen	le personnage	die Figur
dépendre	abhängen	de la condition	die Bedingung
dépendre	abhängen	de la personne	die Person
dépendre	abhängen	de la situation	die Situation
dépenser	ausgeben	l'argent	das Geld
dépenser	ausgeben	temps	die Zeit
déphaser	phasenverschieben	l'onde	die Welle
déphaser	phasenverschieben	le signal	das Signal
déphaser	phasenverschieben	le système	das System
dépister	aufdecken	la maladie	die Krankheit
dépister	aufdecken	la situation	die Situation
dépister	aufdecken	le problème	das Problem
dépiter	verärgern	l'ami	der Freund
dépiter	verärgern	la personne	die Person
dépiter	verärgern	le collègue	der Kollege
déplacer	verschieben	l'objet	der Gegenstand
déplacer	verschieben	la personne	die Person
déplacer	verschieben	le meuble	das Möbel
déplaire	missfallen	la décision	die Entscheidung
déplaire	missfallen	la situation	die Situation
déplaire	missfallen	le choix	die Wahl
déplier	entfalten	la carte	die Karte
déplier	entfalten	le drapeau	die Flagge
déplier	entfalten	le papier	das Papier
déplorer	bedauern	l'événement	das Ereignis
déplorer	bedauern	la perte	der Verlust
déplorer	bedauern	la situation	die Situation
déployer	entfalten	la tente	das Zelt
déployer	entfalten	la voile	die Segel
déployer	entfalten	le drapeau	die Flagge
déporter	deportieren	la population	die Bevölkerung
déposer	abgeben	l'objet	der Gegenstand
déposer	abgeben	la demande	die Anfrage
déposséder	enteignen	la propriété	das Eigentum
déposséder	enteignen	le droit	das Recht
dépouiller	entblößen	la personne	die Person
déprimer	deprimieren	la personne	die Person
déprimer	deprimieren	la situation	die Situation
déprimer	deprimieren	le moment	der Moment
députer	deputieren	la commission	die Kommission
députer	deputieren	le groupe	der Gruppe
députer	deputieren	le représentant	der Vertreter
dépêcher	eilen	la personne	die Person
dépêcher	eilen	le départ	der Abflug
dépêcher	eilen	le travail	die Arbeit
déranger	stören	la personne	die Person
déranger	stören	le silence	die Stille
déranger	stören	le travail	die Arbeit
dériver	abgeleitet werden	l'idée	die Idee
dériver	abgeleitet werden	la théorie	die Theorie
dériver	abgeleitet werden	le concept	das Konzept
dérober	stehlen	l'argent	das Geld
dérober	stehlen	l'objet	der Gegenstand
déroger	abweichen	la loi	das Gesetz
déroger	abweichen	la norme	die Norm
déroger	abweichen	la règle	die Regel
dérouler	abrollen	l'événement	das Ereignis
dérouler	abrollen	le film	der Film
dérouler	abrollen	le tapis	der Teppich
dérouter	verwirren	l'itinéraire	die Route
dérouter	verwirren	le plan	der Plan
dérouter	verwirren	le voyageur	der Reisende
désaltérer	löschen	la boisson	das Getränk
désaltérer	löschen	la personne	die Person
désaltérer	löschen	la soif	der Durst
désapprouver	missbilligen	l'idée	die Idee
désapprouver	missbilligen	la décision	die Entscheidung
désapprouver	missbilligen	le comportement	das Verhalten
désarmer	entwaffnen	l'ennemi	der Feind
désarmer	entwaffnen	la situation	die Situation
désarmer	entwaffnen	le conflit	der Konflikt
désemparer	verwirren	la personne	die Person
désemparer	verwirren	la situation	die Situation
désemparer	verwirren	le groupe	der Gruppe
désemplir	leeren	la boîte	die Box
désemplir	leeren	la salle	der Raum
désemplir	leeren	le réservoir	der Tank
désenchanter	enttäuschen	l'enfant	das Kind
désenchanter	enttäuschen	la personne	die Person
désenchanter	enttäuschen	le rêve	der Traum
déserter	desertieren	l'armée	die Armee
déserter	desertieren	la mission	die Mission
déserter	desertieren	le poste	der Posten
désespérer	verzweifeln	l'espoir	die Hoffnung
désespérer	verzweifeln	la personne	die Person
désespérer	verzweifeln	la situation	die Situation
déshabiller	entkleiden	l'enfant	das Kind
déshabiller	entkleiden	la personne	die Person
déshabiller	entkleiden	la poupée	die Puppe
déshonorer	entehren	la famille	die Familie
déshonorer	entehren	la personne	die Person
déshonorer	entehren	le nom	der Name
déshumaniser	entmenschlichen	l'individu	das Individuum
déshumaniser	entmenschlichen	la situation	die Situation
déshumaniser	entmenschlichen	la société	die Gesellschaft
désigner	bezeichnen	l'objet	der Gegenstand
désigner	bezeichnen	la personne	die Person
désigner	bezeichnen	le lieu	der Ort
désirer	wünschen	la chose	die Sache
désirer	wünschen	la situation	die Situation
désirer	wünschen	le moment	der Moment
désister	zurückziehen	la candidature	die Bewerbung
désister	zurückziehen	la demande	die Anfrage
désister	zurückziehen	la participation	die Teilnahme
désobéir	gehorchen	l'ordre	die Ordnung
désobéir	gehorchen	la loi	das Gesetz
désobéir	gehorchen	la règle	die Regel
désoler	leid tun	l'événement	das Ereignis
désoler	leid tun	la personne	die Person
désoler	leid tun	la situation	die Situation
désordonner	unordnen	l'espace	der Raum
désordonner	unordnen	la chambre	das Zimmer
désordonner	unordnen	le bureau	das Büro
désorganiser	desorganisieren	le travail	die Arbeit
désorienter	desorientieren	la personne	die Person
désorienter	desorientieren	la situation	die Situation
désorienter	desorientieren	le groupe	der Gruppe
déséquilibrer	aus dem Gleichgewicht bringen	la balance	die Waage
déséquilibrer	aus dem Gleichgewicht bringen	la situation	die Situation
déséquilibrer	aus dem Gleichgewicht bringen	la structure	die Struktur
détacher	lösen	l'objet	der Gegenstand
détacher	lösen	l'étiquette	das Etikett
détacher	lösen	la pièce	das Stück
détailler	detaillieren	l'information	die Information
détailler	detaillieren	la description	die Beschreibung
détailler	detaillieren	le plan	der Plan
détecter	entdecken	l'anomalie	die Anomalie
détecter	entdecken	le problème	das Problem
détecter	entdecken	le signal	das Signal
dételer	abspannen	l'attelage	die Anspannung
dételer	abspannen	le chariot	der Wagen
dételer	abspannen	le cheval	das Pferd
détendre	entspannen	l'atmosphère	die Atmosphäre
détendre	entspannen	la situation	die Situation
détendre	entspannen	le muscle	der Muskel
détenir	besitzen	l'information	die Information
déterminer	bestimmen	le choix	die Wahl
déterminer	bestimmen	le facteur	der Faktor
déterminer	bestimmen	le résultat	das Ergebnis
détester	hassen	la chose	die Sache
détester	hassen	la personne	die Person
détester	hassen	la situation	die Situation
détourner	ablenken	l'attention	die Aufmerksamkeit
détourner	ablenken	la conversation	das Gespräch
détourner	ablenken	le regard	der Blick
détruire	zerstören	l'objet	der Gegenstand
détruire	zerstören	l'économie	die Wirtschaft
détruire	zerstören	le bâtiment	das Gebäude
détériorer	verschlechtern	l'objet	der Gegenstand
détériorer	verschlechtern	l'état	der Zustand
détériorer	verschlechtern	la situation	die Situation
dévaler	hinunterstürzen	la colline	der Hügel
dévaler	hinunterstürzen	la pente	der Hang
dévaloriser	abwerten	le produit	das Produkt
dévaloriser	abwerten	le service	der Dienst
dévaster	verwüsten	la région	die Region
dévaster	verwüsten	la ville	die Stadt
dévaster	verwüsten	le paysage	die Landschaft
développer	entwickeln	l'idée	die Idee
développer	entwickeln	la compétence	die Kompetenz
développer	entwickeln	le produit	das Produkt
déverser	gießen	l'eau	das Wasser
déverser	gießen	le contenu	der Inhalt
dévisser	abschrauben	l'objet	der Gegenstand
dévisser	abschrauben	la vis	die Schraube
dévisser	abschrauben	le boulon	der Bolzen
dévoiler	enthüllen	l'information	die Information
dévoiler	enthüllen	la vérité	die Wahrheit
dévoiler	enthüllen	le secret	das Geheimnis
dévorer	verschlingen	la nourriture	die Nahrung
dévorer	verschlingen	le livre	das Buch
dévorer	verschlingen	le plat	das Gericht
dévouer	widmen	l'énergie	die Energie
dévouer	widmen	la vie	das Leben
dévouer	widmen	temps	die Zeit
dévoyer	verführen	l'attention	die Aufmerksamkeit
dévoyer	verführen	la personne	die Person
dévoyer	verführen	le chemin	der Weg
dîner	zu Abend essen	le plat	das Gericht
dîner	zu Abend essen	le repas	die Mahlzeit
dîner	zu Abend essen	le vin	der Wein
effacer	löschen	l'erreur	der Fehler
effacer	löschen	la trace	die Spur
effacer	löschen	le texte	der Text
effectuer	durchführen	l'action	die Handlung
