sentence_fr	sentence_de	blank_word	distractors	verb_fr	noun_fr
Je fais le sport.	Ich mache den Sport.	le	un,la,de	faire	le sport
Je teins le tissu en orange.	Ich färbe den Stoff orange.	le	un,la,de	teindre	le tissu
Je reviens à la maison.	Ich komme nach Hause.	à	de,dans,sur	revenir	la maison
Je partage l'expérience.	Ich teile die Erfahrung.	l'	un,la,de	partager	l'expérience
Le tapis est couché sur le sol.	Der Teppich liegt auf dem Boden.	sur	dans,avec,au	coucher	le tapis
Nous maintenons l'ordre.	Wir behalten die Ordnung.	l'	un,la,de	maintenir	l'ordre
Ils civilisent la communauté.	Sie zivilisieren die Gemeinschaft.	la	l',un,de	civiliser	la communauté
Je bloque le système.	Ich blockiere das System.	le	un,la,de	bloquer	le système
Elle épanouit la personnalité.	Sie entfaltet die Persönlichkeit.	la	un,l',de	épanouir	la personnalité
Nous meubler la chambre.	Wir möblieren das Zimmer.	la	un,l',de	meubler	la chambre
Je mange une pomme.	Ich esse einen Apfel.	une	la,l',de	manger	une pomme
Nous travaillons en équipe.	Wir arbeiten im Team.	en	à,avec,sur	travailler	l'équipe
Il combat l'idée.	Er kämpft gegen die Idee.	l'	la,un,de	combattre	l'idée
Je vois la personne.	Ich sehe die Person.	la	l',un,de	voir	la personne
Je présume l'hypothèse.	Ich nehme die Hypothese an.	l'	la,un,de	présumer	l'hypothèse
Je donne le cadeau.	Ich gebe das Geschenk.	le	un,la,de	donner	le cadeau
Elle achève le travail.	Sie vollendet die Arbeit.	le	un,la,de	achever	le travail
Ils délibèrent le groupe.	Sie beraten die Gruppe.	le	un,la,de	délibérer	le groupe
Nous étrennons l'objet.	Wir weihen den Gegenstand ein.	l'	un,la,de	étrenner	l'objet
Je frémis de peur.	Ich zittere vor Angst.	de	la,un,l'	frémir	la peur
Il excuse le comportement.	Er entschuldigt das Verhalten.	le	un,la,de	excuser	le comportement
Elle embellit la photo.	Sie verschönert das Foto.	la	un,l',de	embellir	la photo
Nous peuplons le pays.	Wir bevölkern das Land.	le	un,la,de	peupler	le pays
Cela comporte l'élément.	Das beinhaltet das Element.	l'	la,un,de	comporter	l'élément
Nous affiliés à l'organisation.	Wir schließen uns der Organisation an.	à	de,sur,avec	affilier	l'organisation
Je rachète l'action.	Ich kaufe die Handlung zurück.	l'	la,un,de	rachat	l'action
Je trouve l'objet sur la table.	Ich finde den Gegenstand auf dem Tisch.	sur	à,dans,avec	trouver	l'objet
Il désordonne la chambre tous les jours.	Er macht das Zimmer jeden Tag unordentlich.	la	un,de,dans	désordonner	la chambre
Je dévisse le boulon facilement.	Ich schraube den Bolzen leicht ab.	le	un,de,dans	dévisser	le boulon
Elle inhale l'air frais.	Sie atmet die frische Luft ein.	l'air	de l'air,un air,dans l'air	inhaler	l'air
Nous codons le programme ensemble.	Wir codieren das Programm zusammen.	le	un,de,dans	coder	le programme
Il butine le pollen des fleurs.	Er sammelt den Pollen von den Blumen.	le	un,de,dans	butiner	le pollen
Cette image ressemble à un tableau.	Dieses Bild ähnelt einem Gemälde.	à	de,dans,sur	ressembler	l'image
Il absorbe l'information rapidement.	Er absorbiert die Information schnell.	l'information	de l'information,une information,dans l'information	absorber	l'information
Je démonte l'objet avec soin.	Ich demontiere den Gegenstand sorgfältig.	l'objet	un objet,de l'objet,dans l'objet	démonter	l'objet
Elle revend l'article en ligne.	Sie verkauft den Artikel online.	l'article	un article,de l'article,dans l'article	revendre	l'article
Nous argumentons l'idée avec passion.	Wir argumentieren die Idee leidenschaftlich.	l'idée	une idée,de l'idée,dans l'idée	argumenter	l'idée
Ils ornent la maison pour Noël.	Sie schmücken das Haus für Weihnachten.	la	un,de,dans	orner	la maison
Il squatte le terrain depuis longtemps.	Er besetzt das Gelände seit langem.	le	un,de,dans	squatter	le terrain
Elle désoriente la personne facilement.	Sie desorientiert die Person leicht.	la	une,de,dans	désorienter	la personne
Je rattrape la personne en courant.	Ich hole die Person beim Laufen ein.	la	une,de,dans	rattraper	la personne
Il inquiète la situation actuelle.	Er beunruhigt die aktuelle Situation.	la	une,de,dans	inquiéter	la situation
Elle interpelle le passant poliment.	Sie spricht den Passanten höflich an.	le	un,de,dans	interpeller	le passant
Je tâtonne le mur dans le noir.	Ich taste die Wand im Dunkeln ab.	le	un,de,dans	tâtonner	le mur
Il éclaire le concept avec des exemples.	Er erklärt das Konzept mit Beispielen.	le	un,de,dans	éclairer	le concept
Le cheval rue dans le pré.	Das Pferd stürmt auf der Wiese.	dans	à,sur,avec	ruer	le cheval
Elle écorche la viande pour le dîner.	Sie zieht das Fleisch für das Abendessen ab.	la	un,de,dans	écorcher	la viande
Il hypertrophie l'organe par entraînement.	Er hypertrophiert das Organ durch Training.	l'organe	un organe,de l'organe,dans l'organe	hypertrophier	l'organe
Nous députons le groupe pour l'événement.	Wir deputieren die Gruppe für das Ereignis.	le	un,de,dans	députer	le groupe
J'arrose le jardin chaque jour.	Ich gieße den Garten jeden Tag.	le	un,de,dans	arroser	le jardin
Il transite le pays en voiture.	Er durchreist das Land mit dem Auto.	le	un,de,dans	transiter	le pays
Elle inhale le médicament avec soin.	Sie atmet das Medikament sorgfältig ein.	le	un,de,dans	inhaler	le médicament
J'appelle l'ami au téléphone.	Ich rufe den Freund am Telefon an.	l'ami	un ami,de l'ami,dans l'ami	appeler	l'ami
Nous applaudissons le spectacle ensemble.	Wir applaudieren dem Schauspiel zusammen.	le	un,de,dans	applaudir	le spectacle
Il préfère le choix facile.	Er bevorzugt die einfache Wahl.	le	un,de,dans	préférer	le choix
Elle repeigne la barbe de son père.	Sie kämmt den Bart ihres Vaters.	la	un,de,dans	repeigner	la barbe
Je contrebalance la force.	Ich gleichen die Kraft aus.	la	de,une,le	contrebalancer	la force
Il augmente le volume.	Er erhöht das Volumen.	le	un,de,la	augmenter	le volume
Elle intéresse la personne.	Sie interessiert die Person.	la	une,de,le	intéresser	la personne
Je réveille l'enfant.	Ich wecke das Kind.	l'	un,la,de	réveiller	l'enfant
Nous retournons à l'endroit.	Wir kehren an den Ort zurück.	à	de,sur,dans	retourner	l'endroit
Ils organisent la fête.	Sie organisieren das Fest.	la	une,de,le	organiser	la fête
On sanctionne le comportement.	Man bestraft das Verhalten.	le	une,de,la	sanctionner	le comportement
Je lis le journal.	Ich lese die Zeitung.	le	un,la,de	lire	le journal
Elle tousse la toux.	Sie hustet den Husten.	la	de,une,le	tousser	la toux
Je balade l'ami.	Ich spaziere mit dem Freund.	l'	un,la,de	balader	l'ami
Ils violentent la situation.	Sie behandeln die Situation gewaltsam.	la	une,de,le	violenter	la situation
Nous concluons le contrat.	Wir schließen den Vertrag ab.	le	un,de,la	conclure	le contrat
Je chauffe la maison.	Ich heize das Haus.	la	une,de,le	chauffer	la maison
Elle attend la réponse.	Sie wartet auf die Antwort.	la	une,de,le	attendre	la réponse
Il oppose l'idée.	Er setzt die Idee entgegen.	l'	une,de,le	opposer	l'idée
Nous contractons l'accord.	Wir vertragen die Vereinbarung.	l'	un,de,la	contracter	l'accord
Il faut l'effort.	Es muss der Aufwand sein.	l'	un,de,la	falloir	l'effort
Elle dévaste la ville.	Sie verwüstet die Stadt.	la	une,de,le	dévaster	la ville
Ils surtaxent le produit.	Sie besteuern das Produkt.	le	un,de,la	surtaxer	le produit
Je bouge l'objet.	Ich bewege den Gegenstand.	l'	un,de,la	bouger	l'objet
Nous isolons la zone.	Wir isolieren die Zone.	la	une,de,le	isoler	la zone
Il excite l'enfant.	Er regt das Kind auf.	l'	un,de,la	exciter	l'enfant
Elle comble le besoin.	Sie füllt das Bedürfnis.	le	un,de,la	combler	le besoin
Il rétorque la réponse.	Er entgegnet die Antwort.	la	une,de,le	rétorquer	la réponse
Nous vaquons au temps.	Wir verbringen die Zeit.	au	à,de,sur	vaquer	temps
Cela découle de la situation.	Das resultiert aus der Situation.	de	à,sur,en	découler	la situation
Je bute sur l'objet.	Ich stoße auf den Gegenstand.	l'	un,de,la	buter	l'objet
Nous dégustons le dessert.	Wir kosten den Nachtisch.	le	un,de,la	déguster	le dessert
L'animal hennit.	Das Tier wiehert.	l'	un,de,la	hennir	l'animal
La voix résonne.	Die Stimme erklingt.	la	une,de,le	résonner	la voix
Je cligne de l'œil.	Ich blinzle mit dem Auge.	de	à,sur,avec	cligner	l'œil
J'ocre la toile.	Ich färbe die Leinwand mit Ocker.	la	une,de,sur	ocrer	la toile
L'enfant rit avec moi.	Das Kind lacht mit mir.	avec	de,à,sur	rire	l'enfant
Je terrer le trésor.	Ich vergrabe den Schatz.	le	un,de,dans	terrer	le trésor
J'opte pour l'option.	Ich wähle die Option.	pour	à,de,sur	opter	l'option
Je frôle le mur.	Ich streife die Wand.	le	un,de,dans	frôler	le mur
J'artistique l'œuvre.	Ich gestalte das Werk künstlerisch.	l'	la,le,une	artistiquer	l'œuvre
Je prime le vote.	Ich primen die Abstimmung.	le	un,de,dans	primer	le vote
Je jouis du moment.	Ich genieße den Moment.	du	de,à,sur	jouir	le moment
Je porte le sac.	Ich trage die Tasche.	le	un,de,dans	portraire	le sac
Je proscris le comportement.	Ich verbanne das Verhalten.	le	un,de,dans	proscrire	le comportement
Le bruit crisse fort.	Der Lärm kreischt laut.	fort	dans,de,sur	crisser	le bruit
Le soleil éblouit.	Die Sonne blendet.	éblouit	brille,luit,l'éclat	éblouir	le soleil
Je témoigne de l'événement.	Ich zeuge von dem Ereignis.	de	à,sur,avec	témoigner	l'événement
J'appréhende le danger.	Ich fürchte die Gefahr.	le	un,de,dans	appréhender	le danger
Je conseille le client.	Ich berate den Kunden.	le	un,de,dans	conseiller	le client
J'autorise l'action.	Ich erlaube die Handlung.	l'	la,le,une	autoriser	l'action
Je tirailler la corde.	Ich zerrre am Seil.	la	une,de,dans	tirailler	la corde
Je relate le fait.	Ich berichte über die Tatsache.	le	un,de,dans	relater	le fait
J'obstruer le passage.	Ich verstopfe den Durchgang.	le	un,de,dans	obstruer	le passage
J'achète le produit.	Ich kaufe das Produkt.	le	un,de,dans	acheter	le produit
Je mange le gâteau.	Ich esse den Kuchen.	le	un,de,dans	manger	le gâteau
Je fixe l'objectif.	Ich lege das Ziel fest.	l'	la,le,une	fixer	l'objectif
Je courbe la branche.	Ich biege den Zweig.	la	une,de,dans	courber	la branche
J'attarde la décision.	Ich verzögere die Entscheidung.	la	une,de,dans	attarder	la décision
Je blinde l'écran.	Ich blende den Bildschirm.	l'	la,le,une	blinder	l'écran
J'aborde le sujet.	Ich spreche das Thema an.	le	un,de,dans	aborder	le sujet
Je gagne le prix.	Ich gewinne den Preis.	le	un,de,dans	gagner	le prix
Je vais à l'école.	Ich gehe in die Schule.	à	de,sur,avec	aller	l'école
Je tempère la réaction.	Ich milde die Reaktion.	la	une,de,dans	tempérer	la réaction
Je ficèle l'objet.	Ich binde den Gegenstand.	l'	de,un,le	ficeler	l'objet
J'apprécie le moment.	Ich schätze den Moment.	le	un,de,la	apprécier	le moment
Je prépare le repas.	Ich bereite die Mahlzeit vor.	le	un,de,la	préparer	le repas
Je bois le jus.	Ich trinke den Saft.	le	un,de,la	boire	le jus
Je glace l'eau.	Ich friere das Wasser ein.	l'	de,un,la	glacer	l'eau
Je pronostique l'économie.	Ich prognostiziere die Wirtschaft.	l'	de,un,la	pronostiquer	l'économie
Je restructure l'entreprise.	Ich restructure die Firma.	l'	de,un,la	restructurer	l'entreprise
Le bâtiment s'écroule.	Das Gebäude stürzt ein.	le	un,de,la	écrouler	le bâtiment
Je simule l'événement.	Ich simuliere das Ereignis.	l'	de,un,la	simuler	l'événement
J'appauvris la population.	Ich verarme die Bevölkerung.	la	une,de,le	appauvrir	la population
Je supporte la personne.	Ich unterstütze die Person.	la	une,de,le	supporter	la personne
Je paie le compte.	Ich bezahle das Konto.	le	un,de,la	payer	le compte
Je gémis le soupir.	Ich stöhne den Seufzer.	le	un,de,la	gémir	le soupir
J'insulte l'ami.	Ich beleidige den Freund.	l'	de,un,la	insulter	l'ami
J'exècre la chose.	Ich verabscheue die Sache.	la	une,de,le	exécrer	la chose
Je pourfends l'obstacle.	Ich zerschlage das Hindernis.	l'	de,un,la	pourfendre	l'obstacle
Je projette l'idée.	Ich projiziere die Idee.	l'	de,un,la	projeter	l'idée
J'amène la personne.	Ich bringe die Person.	la	une,de,le	amener	la personne
Je momifie l'animal.	Ich mumifiziere das Tier.	l'	de,un,la	momifier	l'animal
Je cèle l'information.	Ich verberge die Information.	l'	de,un,la	celer	l'information
Je lacère le papier.	Ich zerreiße das Papier.	le	un,de,la	lacérer	le papier
Je gratte la surface.	Ich kratzen die Oberfläche.	la	une,de,le	gratter	la surface
Je restreins la liberté.	Ich schränke die Freiheit ein.	la	une,de,le	restreindre	la liberté
Je sophistique le produit.	Ich verfeinere das Produkt.	le	un,de,la	sophistiquer	le produit
Je vénère la tradition.	Ich verehre die Tradition.	la	une,de,le	vénérer	la tradition
Je resserre le contrôle.	Ich straffe die Kontrolle.	le	un,de,la	resserrer	le contrôle
Je découvre le talent.	Ich entdecke das Talent.	le	un,de,la	découvrir	le talent
J'interviewe la personne.	Ich interviewe die Person.	la	une,de,le	interviewer	la personne
J'aliène le groupe.	Ich entfremde die Gruppe.	le	un,de,la	aliéner	le groupe
J'habite la ville.	Ich wohne in der Stadt.	la	une,de,le	habiter	la ville
J'approuve le projet.	Ich genehmige das Projekt.	le	un,de,du	approuver	le projet
Nous devisons le thème.	Wir reden über das Thema.	le	un,de,dans	deviser	le thème
Il mène l'équipe.	Er führt die Mannschaft.	l'	une,la,de	mener	l'équipe
Elle prévient le danger.	Sie warnt vor der Gefahr.	le	un,de,la	prévenir	le danger
Je reproduis le texte.	Ich wiederhole den Text.	le	un,de,la	reproduire	le texte
Il venge l'honneur.	Er rächt die Ehre.	l'	une,de,la	venger	l'honneur
Nous logeons l'invité.	Wir bringen den Gast unter.	l'	un,de,la	loger	l'invité
Je repêche l'examen.	Ich wiederhole die Prüfung.	l'	une,de,la	repêcher	l'examen
Ils collaborent avec l'équipe.	Sie arbeiten mit der Mannschaft zusammen.	avec	sur,dans,pour	collaborer	l'équipe
Elle réhabitue l'enfant.	Sie gewöhnt das Kind wieder an.	l'	une,de,la	réhabituer	l'enfant
Je donne l'aide.	Ich gebe die Hilfe.	l'	une,de,la	donner	l'aide
Il acquiert la compétence.	Er erwirbt die Kompetenz.	la	une,de,le	acquérir	la compétence
Elle pleure l'homme.	Sie weint um den Mann.	l'	un,de,le	pleurer	l'homme
Nous supportons la cause.	Wir unterstützen die Ursache.	la	une,de,le	supporter	la cause
Il ridiculise la personne.	Er macht die Person lächerlich.	la	une,de,le	ridiculiser	la personne
Elle dépeint la scène.	Sie stellt die Szene dar.	la	une,de,le	dépeindre	la scène
Il agréé l'avis.	Er stimmt der Meinung zu.	l'	une,de,le	agréer	l'avis
J'envoie la lettre.	Ich sende den Brief.	la	une,de,le	envoyer	la lettre
Nous réchauffons l'eau.	Wir wärmen das Wasser.	l'	une,de,le	réchauffer	l'eau
Il flambe le bois.	Es flammen das Holz.	le	un,de,la	flamber	le bois
Elle enroule le ruban.	Sie wickelt das Band.	le	un,de,la	enrouler	le ruban
Je commande l'article.	Ich bestelle den Artikel.	l'	une,de,le	commander	l'article
Ils tâchent l'objectif.	Sie versuchen das Ziel.	l'	une,de,le	tâcher	l'objectif
Elle satisfait la demande.	Sie befriedigt die Anfrage.	la	une,de,le	satisfaire	la demande
Il minimise le risque.	Er minimiert das Risiko.	le	un,de,la	minimiser	le risque
Nous encerclons la cible.	Wir umkreisen das Ziel.	la	une,de,le	encercler	la cible
Ils désertent l'armée.	Sie desertieren aus der Armee.	l'	une,de,le	déserter	l'armée
Elle revêt le vêtement.	Sie zieht das Kleidungsstück an.	le	un,de,la	revêtir	le vêtement
Il sous-titre le dialogue.	Er untertitelt den Dialog.	le	un,de,la	sous-titrer	le dialogue
Un changement advient.	Eine Veränderung geschieht.	Un	le,la,de	advenir	un changement
Je provoque le problème.	Ich verursache das Problem.	le	un,de,la	provoquer	le problème
Il rétorque l'objection.	Er entgegnet dem Einwand.	l'	une,de,le	rétorquer	l'objection
Nous approuvons la décision.	Wir genehmigen die Entscheidung.	la	une,de,le	approuver	la décision
Elle disparaît la personne.	Sie verschwindet die Person.	la	une,de,le	disparaître	la personne
Ils redécouvrent le lieu.	Sie entdecken den Ort wieder.	le	un,de,la	redécouvrir	le lieu
Je façonne l'idée.	Ich forme die Idee.	l'	une,de,le	façonner	l'idée
Nous voulons la chose.	Wir wollen die Sache.	la	une,de,le	vouloir	la chose
Ils saccagent la ville.	Sie verwüsten die Stadt.	la	une,de,le	saccager	la ville
Il innerve l'organe.	Er beeinflusst das Organ.	l'	un,de,le	innerver	l'organe
Elle raille l'idée.	Sie verspottet die Idee.	l'	une,de,le	railler	l'idée
Il insinue le sous-entendu.	Er deutet das Unterlassen an.	le	un,de,la	insinuer	le sous-entendu
Nous tannerons le cuir.	Wir gerben das Leder.	le	un,de,la	tanner	le cuir
Elle pervertit la valeur.	Sie verdirbt den Wert.	la	une,de,le	pervertir	la valeur
Il rétrécit l'espace.	Er verkleinert den Raum.	l'	un,de,le	rétrécir	l'espace
Nous entreprenons le travail.	Wir unternehmen die Arbeit.	le	un,de,la	entreprendre	le travail
Ils cosignent le contrat.	Sie mitunterzeichnen den Vertrag.	le	un,de,la	cosigner	le contrat
Elle administre l'entreprise.	Sie verwaltet die Firma.	l'	une,de,le	administrer	l'entreprise
Il barbèle l'esprit.	Er verwirrt den Geist.	l'	un,de,le	barbeler	l'esprit
Nous utilisons un outil.	Wir benutzen ein Werkzeug.	un	le,de,la	utiliser	un outil
Il extrait l'échantillon.	Er entnimmt die Probe.	l'	un,de,le	extraire	l'échantillon
Elle gagne la compétition.	Sie gewinnt den Wettbewerb.	la	une,de,le	gagner	la compétition
Il tache le mur.	Er fleckt die Wand.	le	un,de,la	tacheter	le mur
Je suis un homme.	Ich bin ein Mann.	un	le,de,la	être	homme
Nous préservons l'environnement.	Wir bewahren die Umwelt.	l'	une,de,le	préserver	l'environnement
Il solidifie le matériau.	Er verfestigt das Material.	le	un,de,la	solidifier	le matériau
Elle force la porte.	Sie zwingt die Tür.	la	une,de,le	forcer	la porte
Il veloute l'objet.	Er verhüllt den Gegenstand.	l'	un,de,le	velouter	l'objet
Elle ressemble à la personne.	Sie ähnelt der Person.	à	de,sur,avec	ressembler	la personne
Il enlaidit le lieu.	Er verunstaltet den Ort.	le	un,de,la	enlaidir	le lieu
Nous délimitons l'espace.	Wir grenzen den Raum ab.	l'	un,de,le	délimiter	l'espace
Je retransmets le signal.	Ich übertrage das Signal.	le	un,de,dans	retransmettre	le signal
J'immatricule l'étudiant.	Ich immatrikuliere den Studenten.	l'	un,le,de	immatriculer	l'étudiant
Je précipite l'événement.	Ich beschleunige das Ereignis.	l'	un,de,sur	précipiter	l'événement
Je bois l'eau.	Ich trinke das Wasser.	l'	une,de,sur	boire	l'eau
J'engendre le problème.	Ich verursache das Problem.	le	un,de,dans	engendrer	le problème
Je braise le légume.	Ich schmoren das Gemüse.	le	un,de,dans	braiser	le légume
Je millésime la réserve.	Ich jahrgangsbestimme die Reserve.	la	une,de,dans	millésimer	la réserve
Je dispute le conflit.	Ich streite über den Konflikt.	le	un,de,dans	disputer	le conflit
J'achète le vêtement.	Ich kaufe das Kleidungsstück.	le	un,de,dans	acheter	le vêtement
Je restaure l'objet.	Ich restauriere den Gegenstand.	l'	un,de,dans	restaurer	l'objet
Je cadre la photo.	Ich rahme das Foto.	la	une,de,dans	cadrer	la photo
Je colore le vêtement.	Ich färbe das Kleidungsstück.	le	un,de,dans	colorer	le vêtement
J'excepte la personne.	Ich nehme die Person aus.	la	une,de,dans	excepter	la personne
Je fonctionne l'appareil.	Ich funktioniere das Gerät.	l'	un,de,dans	fonctionner	l'appareil
Je trace la ligne.	Ich zeichne die Linie.	la	une,de,dans	tracer	la ligne
Je dilue la solution.	Ich verdünne die Lösung.	la	une,de,dans	diluer	la solution
J'abroge le règlement.	Ich hebe die Regelung auf.	le	un,de,dans	abroger	le règlement
Je juge la situation.	Ich urteile über die Situation.	la	une,de,dans	juger	la situation
Je ferme la porte.	Ich schließe die Tür.	la	une,de,dans	fermer	la porte
Je personnalise le service.	Ich personalisiere den Dienst.	le	un,de,dans	personnaliser	le service
J'étire la corde.	Ich dehne das Seil.	la	une,de,dans	étirer	la corde
Je dote le projet.	Ich statte das Projekt aus.	le	un,de,dans	doter	le projet
Je prouve la thèse.	Ich beweise die These.	la	une,de,dans	prouver	la thèse
Je gravis la montagne.	Ich besteige den Berg.	la	une,de,dans	gravir	la montagne
Je mutile le corps.	Ich verstümmle den Körper.	le	un,de,dans	mutiler	le corps
Je plume la volaille.	Ich rupfe das Geflügel.	la	une,de,dans	plumer	la volaille
Je jaunis le papier.	Ich werde das Papier gelb.	le	un,de,dans	jaunir	le papier
Je tache le vêtement.	Ich flecke das Kleidungsstück.	le	un,de,dans	tacheter	le vêtement
Je tiens l'objet.	Ich halte den Gegenstand.	l'	un,de,dans	tenir	l'objet
Je fâche l'enfant.	Ich ärgere das Kind.	l'	un,de,dans	fâcher	l'enfant
Je décris l'idée.	Ich beschreibe die Idee.	l'	de,une,la	décrire	l'idée
Ils militent pour la cause.	Sie kämpfen für die Ursache.	pour	avec,de,sur	militer	la cause
Je congèle la nourriture.	Ich friere die Nahrung ein.	la	une,de,dans	congeler	la nourriture
Nous traînons avec l'ami.	Wir hängen mit dem Freund herum.	avec	à,de,sur	traîner	l'ami
Je garde l'objet.	Ich behalte den Gegenstand.	l'	un,la,de	garder	l'objet
Elle avise la personne.	Sie benachrichtigt die Person.	la	une,de,sur	aviser	la personne
Il fulmine de colère.	Er explodiert vor Wut.	de	la,sur,avec	fulminer	la colère
Elle infecte la bactérie.	Sie infiziert die Bakterie.	la	une,de,sur	infecter	la bactérie
Je sers le client.	Ich bediene den Kunden.	le	un,la,de	servir	le client
Elle affectionne la chose.	Sie liebt die Sache.	la	une,de,sur	affectionner	la chose
Il serre la ceinture.	Er drückt den Gürtel.	la	une,de,sur	serrer	la ceinture
Ils banalisent l'événement.	Sie banalisieren das Ereignis.	l'	de,une,sur	banaliser	l'événement
Elle agresse la situation.	Sie greift die Situation an.	la	une,de,sur	agresser	la situation
Nous devisons de la conversation.	Wir reden über das Gespräch.	de	à,sur,avec	deviser	la conversation
Il surcharge le système.	Er überlastet das System.	le	un,la,de	surcharger	le système
Je dicte l'instruction.	Ich diktiere die Anweisung.	l'	une,de,sur	dicter	l'instruction
Ils démantèlent la machine.	Sie demontieren die Maschine.	la	une,de,sur	démanteler	la machine
Elle méconnaît le lieu.	Sie erkennt den Ort nicht.	le	un,la,de	méconnaître	le lieu
Il base la théorie.	Er basiert die Theorie.	la	une,de,sur	baser	la théorie
J'étreins l'ami.	Ich umarme den Freund.	l'	un,la,de	êtreindre	l'ami
Le chat miaule.	Die Katze miaut.	le	un,la,de	miauler	le chat
Je jardine le légume.	Ich gärtnern das Gemüse.	le	un,la,de	jardiner	le légume
Il évide le matériau.	Er höhlt das Material aus.	le	un,la,de	évider	le matériau
Elle enfère la personne.	Sie verhaftet die Person.	la	une,de,sur	enferrer	la personne
Il fausse le résultat.	Er verfälscht das Ergebnis.	le	un,la,de	fausser	le résultat
Elle commet le crime.	Sie begeht das Verbrechen.	le	un,la,de	commettre	le crime
La balance oscille.	Die Waage schwingt.	la	un,de,sur	osciller	la balance
Ils confisquent la marchandise.	Sie konfiszieren die Ware.	la	une,de,sur	confisquer	la marchandise
Il convoque le passager.	Er transportiert den Passagier.	le	un,la,de	convoyer	le passager
Elle interfère dans le système.	Sie interferiert im System.	dans	de,sur,avec	interférer	le système
Je vais amadouer l'animal.	Ich werde das Tier beschwichtigen.	l'	de,un,le	amadouer	l'animal
Je recommande le restaurant.	Ich empfehle das Restaurant.	le	un,de,la	recommander	le restaurant
Il a endommagé la voiture.	Er hat das Auto beschädigt.	la	une,de,le	endommager	la voiture
L'eau rejaillit dans le jardin.	Das Wasser sprudelt im Garten.	dans	sur,à,avec	rejaillir	l'eau
Nous valorisons le produit.	Wir werten das Produkt auf.	le	un,de,la	valoriser	le produit
Ils sacrifient l'objet.	Sie heiligen den Gegenstand.	l'	de,un,le	sacrifier	l'objet
Je ressens une émotion.	Ich fühle eine Emotion.	une	la,le,de	ressentir	l'émotion
Elle ficèle le cadeau.	Sie bindet das Geschenk.	le	un,de,la	ficeler	le cadeau
Il modère le débat.	Er mäßigt die Debatte.	le	un,de,la	modérer	le débat
Nous nettoyons la table.	Wir reinigen den Tisch.	la	le,une,de	nettoyer	la table
Il brave l'obstacle.	Er trotzt dem Hindernis.	l'	de,un,le	braver	l'obstacle
Elle échauffe l'eau.	Sie erwärmt das Wasser.	l'	de,une,le	échauffer	l'eau
Il insiste sur la demande.	Er besteht auf der Anfrage.	sur	à,de,avec	insister	la demande
Nous régulons le système.	Wir regulieren das System.	le	un,de,la	réguler	le système
Ils réhabilitent le bâtiment.	Sie rehabilitieren das Gebäude.	le	un,de,la	réhabiliter	le bâtiment
Je déploie la tente.	Ich entfalten das Zelt.	la	un,de,le	déployer	la tente
Il interférera avec la communication.	Er wird mit der Kommunikation interferieren.	avec	sur,de,à	interférer	la communication
Elle décrie le système.	Sie setzt das System herab.	le	un,de,la	décrier	le système
Il inclut la personne.	Er schließt die Person ein.	la	un,de,le	inclure	la personne
Elle rajoute le détail.	Sie fügt das Detail hinzu.	le	un,de,la	rajouter	le détail
Il sature la solution.	Er sättigt die Lösung.	la	un,de,le	saturer	la solution
Elle convainc la personne.	Sie überzeugt die Person.	la	un,de,le	convaincre	la personne
Il rétame la boîte.	Er retamiert die Box.	la	un,de,le	rétamer	la boîte
Elle verbalise l'idée.	Sie verbalisiert die Idee.	l'	de,une,le	verbaliser	l'idée
Je répète l'exercice.	Ich wiederhole die Übung.	l'	de,une,le	répéter	l'exercice
Nous redistribuons la richesse.	Wir verteilen den Reichtum um.	la	un,de,le	redistribuer	la richesse
Ils suspectent la situation.	Sie verdächtigen die Situation.	la	un,de,le	suspecter	la situation
Elle affine le membre.	Sie schließt das Mitglied an.	le	un,de,la	affilier	le membre
Il endort le patient.	Er schläfert den Patienten ein.	le	un,de,la	endormir	le patient
Le chien mord le facteur.	Der Hund beißt den Briefträger.	le	un,de,la	mordre	le chien
Il polit ___ meuble.	Er poliert das Möbel.	le	une,de,la	polir	le meuble
Je brode le motif.	Ich sticke das Motiv.	le	un,la,du	broder	le motif
Il agresse la personne.	Er greift die Person an.	la	une,de,le	agresser	la personne
Ils adorent l'idole.	Sie vergöttern das Idol.	l'	un,la,le	aduler	l'idole
J'argue le point.	Ich argumentiere den Punkt.	le	un,de,la	arguer	le point
Nous commentons l'article.	Wir kommentieren den Artikel.	l'	un,la,le	commenter	l'article
Je rate le train.	Ich verpasse den Zug.	le	un,la,de	rater	le train
Ils plafonnent le budget.	Sie deckeln das Budget.	le	un,la,de	plafonner	le budget
L'animal grogne.	Das Tier grunzt.	L'	un,la,le	grogner	l'animal
Les chemins convergent.	Die Wege konvergieren.	Les	Un,Au,De	converger	le chemin
Je réinscris l'étudiant.	Ich schreibe den Studenten wieder ein.	l'	un,la,le	réinscrire	l'étudiant
Nous habitons le quartier.	Wir wohnen im Viertel.	le	un,la,de	habiter	le quartier
Elle met le vêtement.	Sie zieht das Kleidungsstück an.	le	un,la,de	mettre	le vêtement
Il empêche l'accident.	Er verhindert den Unfall.	l'	un,la,le	empêcher	l'accident
Elle remariera l'épouse.	Sie wird die Ehefrau wieder heiraten.	l'	un,la,le	remarier	l'épouse
Je cuisine le repas.	Ich koche die Mahlzeit.	le	un,la,de	cuisiner	le repas
Il ouvre la porte.	Er öffnet die Tür.	la	une,de,le	ouvrir	la porte
