source_display	target	card_type	level	word_class	gender	flelex_word	freq_total
maternel	mütterlich	words	A2	adjective		maternel	15.04
Romain	Römerin	words	A2	adjective	masculine	romain	15.02
contacter	kontaktieren	words	A2	verb		contacter	14.58
non	nicht wahr	phrases	A2	interjection		non	14.03
vain	eitel	words	A2	adjective		vain	14.02
la douche	Brause	words	A2	noun	feminine	douche	13.99
plaisanter	spaßen	words	A2	verb		plaisanter	13.99
nettoyer	säubern	words	A2	verb		nettoyer	13.99
commenter	kommentieren	words	A2	verb		commenter	13.90
latin	lateinisch	words	A2	adjective		latin	13.75
la merveille	Wunder	words	A2	noun	feminine	merveille	13.62
la francophonie	Frankofonie	words	A2	noun	feminine	francophonie	13.39
le bon	gut	words	A2	noun	masculine	bon	13.29
brave	brav	words	A2	adjective		brave	13.01
le conducteur	Fahrer	words	A2	noun	masculine	conducteur	12.92
le motif	Grund	words	A2	noun	masculine	motif	12.44
restaurer	stärken	words	A2	verb		restaurer	12.35
remporter	erringen	words	A2	verb		remporter	12.30
soulier	Schuh	words	A2	noun		soulier	12.04
le total	Summe	words	A2	noun	masculine	total	11.87
hein	hä	phrases	A2	interjection		hein	11.69
l' addition	Zusatz	words	A2	noun	feminine	addition	11.62
polonais	polnische Sprache	words	A2	adjective	masculine	polonais	11.51
la botte	Faß	words	A2	noun	feminine	botte	11.40
l' aliment	Futter	words	A2	noun	masculine	aliment	11.34
la salutation	Gruß	words	A2	noun	feminine	salutation	11.29
autoroute	Autobahn	words	A2	noun		autoroute	11.28
effondrer	einsacken	words	A2	verb		effondrer	11.23
le commentaire	Bewertung	words	A2	noun	masculine	commentaire	11.03
souriant	freundlich	words	A2	adjective	masculine	souriant	11.01
renseigner	mitteilen	words	A2	verb		renseigner	11.00
cuire	kochen	words	A2	verb		cuire	10.90
corriger	berichtigen	words	A2	verb		corriger	10.89
passionnant	anregend	words	A2	adjective	masculine	passionnant	10.72
la Renaissance	Renaissance	words	A2	noun	feminine	renaissance	10.70
le panorama	Panorama	words	A2	noun	masculine	panorama	10.68
la fermeture	Schluss	words	A2	noun	feminine	fermeture	10.52
l' horaire	Fahrplan	words	A2	noun	masculine	horaire	10.45
pis	Euter	words	A2	adverb	masculine	pis	10.27
car	denn	words	A2	noun		car	9.93
culinaire	kochen	words	A2	adjective		culinaire	9.91
bavarder	plaudern	words	A2	verb		bavarder	9.76
la colonie	Kolonie	words	A2	noun	feminine	colonie	9.68
informatique	Informatik	words	A2	adjective	feminine	informatique	9.67
esclave	Knecht	words	A2	noun		esclave	9.63
symboliser	symbolisieren	words	A2	verb		symboliser	9.60
le camion	LKW	words	A2	noun	masculine	camion	9.50
le bistrot	Bar	words	A2	noun	masculine	bistrot	9.40
inoubliable	unvergessen	words	A2	adjective		inoubliable	9.37
le cahier	Heft	words	A2	noun	masculine	cahier	9.34
le mouton	Schaf	words	A2	noun	masculine	mouton	9.31
bourgeois	Bourgeois	words	A2	adjective	masculine	bourgeois	9.27
le panneau	Feld	words	A2	noun	masculine	panneau	9.18
recouvrir	belegen	words	A2	verb		recouvrir	9.16
le gamin	Blag	words	A2	noun	masculine	gamin	9.14
la rive	Rand	words	A2	noun	feminine	rive	9.11
abriter	schirmen	words	A2	verb		abriter	8.74
la canne	Stab	words	A2	noun	feminine	canne	8.34
la guitare	Gitarre	words	A2	noun	feminine	guitare	8.16
l' artifice	Kniff	words	A2	noun	masculine	artifice	8.11
vexer	kränken	words	A2	verb		vexer	8.03
marocain	marokkanisch	words	A2	adjective	masculine	marocain	7.93
l' illustration	Abbildung	words	A2	noun	feminine	illustration	7.61
illuminer	beleuchten	words	A2	verb		illuminer	7.37
l' yaourt	Jogurt	words	A2	noun	masculine	yaourt	7.34
canadien	kanadisch	words	A2	adjective	masculine	canadien	7.26
Perlé	Perl	words	A2	noun		perle	7.26
radio	Radio	words	A2	adjective	feminine	radio	7.26
l' assistant	Assistent	words	A2	noun	masculine	assistant	7.19
le feuilleton	Feuilleton	words	A2	noun	masculine	feuilleton	7.13
le foie	Leber	words	A2	noun	masculine	foie	6.91
le cuisinier	Koch	words	A2	noun	masculine	cuisinier	6.87
la boulangerie	Bäckerei	words	A2	noun	feminine	boulangerie	6.86
le porc	Schwein	words	A2	noun	masculine	porc	6.85
patient	geduldig	words	A2	adjective		patient	6.73
le dessinateur	Zeichner	words	A2	noun	masculine	dessinateur	6.71
la tarte	Tarte	words	A2	noun	feminine	tarte	6.65
dentiste	Zahnarzt	words	A2	noun		dentiste	6.59
chic	schick	words	A2	adjective		chic	6.44
la fontaine	Born	words	A2	noun	feminine	fontaine	6.42
luire	leuchten	words	A2	verb		luire	6.41
ennuyeux	ärgerlich	words	A2	adjective		ennuyeux	5.97
chaleureux	herzlich	words	A2	adjective		chaleureux	5.97
coiffer	führen	words	A2	verb		coiffer	5.97
le jouet	Spielzeug	words	A2	noun	masculine	jouet	5.94
le bisou	Kuss	words	A2	noun	masculine	bisou	5.89
l' angle	Ecke	words	A2	noun	masculine	angle	5.86
la charcuterie	Wursthandlung	words	A2	noun	feminine	charcuterie	5.38
sage	brav	words	A2	adjective		sage	5.33
le parapluie	Parapluie	words	A2	noun	masculine	parapluie	5.18
fatigant	lästig	words	A2	adjective		fatigant	5.07
la console	Konsole	words	A2	noun	feminine	console	4.96
mignon	süß	words	A2	adjective		mignon	4.93
la dinde	Pute	words	A2	noun	feminine	dinde	4.84
nocturne	nächtlich	words	A2	adjective		nocturne	4.77
la grenouille	Frosch	words	A2	noun	feminine	grenouille	4.61
la sympathie	Sympathie	words	A2	noun	feminine	sympathie	4.58
le boulanger	Bäcker	words	A2	noun	masculine	boulanger	4.54
la tapisserie	Tapete	words	A2	noun	feminine	tapisserie	4.38
le croissant	Halbmond	words	A2	noun	masculine	croissant	4.38
comique	drollig	words	A2	adjective		comique	4.26
le rosier	Rosenstock	words	A2	noun	masculine	rosier	4.20
australien	australisch	words	A2	adjective	masculine	australien	4.16
le gramme	Gramm	words	A2	noun	masculine	gramme	4.06
le saucisson	Wurst	words	A2	noun	masculine	saucisson	3.93
la maquette	Modell	words	A2	noun	feminine	maquette	3.85
le pourboire	Trinkgeld	words	A2	noun	masculine	pourboire	3.83
la cire	Wachs	words	A2	noun	feminine	cire	3.78
l' escargot	Schnecke	words	A2	noun	masculine	escargot	3.77
le jazz	Jazz	words	A2	noun	masculine	jazz	3.71
la natation	Schwimmen	words	A2	noun	feminine	natation	3.70
stupide	blöd	words	A2	adjective		stupide	3.70
ouf	puh	phrases	A2	interjection		ouf	3.53
le saumon	Salm	words	A2	noun	masculine	saumon	3.51
la banane	Banane	words	A2	noun	feminine	banane	3.48
raide	jäh	words	A2	adjective		raide	3.29
le collectionneur	Sammler	words	A2	noun	masculine	collectionneur	3.17
marron	braun	words	A2	adjective		marron	3.07
le bowling	Bowling	words	A2	noun	masculine	bowling	3.06
le caissier	Kassier	words	A2	noun	masculine	caissier	2.93
la pharmacie	Apotheke	words	A2	noun	feminine	pharmacie	2.77
l' olive	Olive	words	A2	noun	feminine	olive	2.74
marre	satthaben	words	A2	adverb		marre	2.71
l' abricot	Marille	words	A2	noun	masculine	abricot	2.56
portugais	portugiesische	words	A2	adjective	masculine	portugais	2.55
le casque	Helm	words	A2	noun	masculine	casque	2.47
la photocopie	Fotokopie	words	A2	noun	feminine	photocopie	2.46
gris	Grau	words	A2	noun		gris	2.36
cinquante	Fünfzig	words	A2	noun		cinquante	2.34
le spaghetti	Spagetti	words	A2	noun	masculine	spaghetti	2.27
l' oublie	Hippe	words	A2	noun	feminine	oublie	2.19
le sirop	Sirup	words	A2	noun	masculine	sirop	2.13
le rhum	Rum	words	A2	noun	masculine	rhum	2.02
bonsoir	guten Abend	phrases	A2	interjection		bonsoir	2.02
chut	leise	phrases	A2	interjection		chut	1.83
marrant	lustig	words	A2	adjective		marrant	1.76
le cidre	Most	words	A2	noun	masculine	cidre	1.63
musulman	muslimisch	words	A2	adjective		musulman	1.59
ben	na	words	A2	noun		ben	1.49
quatre	Vier	words	A2	noun		quatre	1.47
l' oignon	Arsch	words	A2	noun	masculine	oignon	1.42
laitier	Schlacke	words	A2	adjective	masculine	laitier	1.31
collectionner	sammeln	words	A2	verb		collectionner	1.28
la menthe	Minze	words	A2	noun	feminine	menthe	1.26
trop	zu viel	words	A2	noun		trop	1.25
le couscous	Kuskus	words	A2	noun	masculine	couscous	1.21
jumeau	Paar	words	A2	noun		jumeau	1.00
la sardine	Hering	words	A2	noun	feminine	sardine	0.95
l' apprenti	Azubi	words	A2	noun	masculine	apprenti	0.91
skier	Ski fahren	words	A2	verb		skier	0.89
l' ambassade	Botschaft	words	A2	noun	feminine	ambassade	0.76
pamplemousse	Grapefruit	words	A2	noun		pamplemousse	0.64
Rabat	Rabat	words	A2	noun		rabat	0.63
le concombre	Gurke	words	A2	noun	masculine	concombre	0.62
le zoo	Zoo	words	A2	noun	masculine	zoo	0.60
pat	Patt	words	A2	adjective	masculine	pat	0.20
dont	darunter	words	B1	pronoun		dont	382.97
le rapport	Bezug	words	B1	noun	masculine	rapport	143.14
le regard	Auge	words	B1	noun	masculine	regard	141.51
pauvre	arm	words	B1	adjective		pauvre	139.21
chef	Chef	words	B1	noun		chef	131.30
la sorte	Art	words	B1	noun	feminine	sorte	129.48
le public	Publikum	words	B1	noun	masculine	public	125.66
obtenir	erlangen	words	B1	verb		obtenir	123.09
le pouvoir	können	words	B1	noun	masculine	pouvoir	119.74
commissaire	Kommissar	words	B1	noun		commissaire	117.87
l' esprit	Geist	words	B1	noun	masculine	esprit	117.83
remettre	erlassen	words	B1	verb		remettre	116.84
l' avenir	Zukunft	words	B1	noun	masculine	avenir	110.30
la plupart	meisten	words	B1	noun	feminine	plupart	108.36
professionnel	professionell	words	B1	adjective		professionnel	107.61
la ligne	Linie	words	B1	noun	feminine	ligne	106.02
l' action	Tat	words	B1	noun	feminine	action	105.70
le compte	Konto	words	B1	noun	masculine	compte	105.24
cadre	Rahmen	words	B1	noun		cadre	104.20
la politique	Politik	words	B1	noun	feminine	politique	103.73
assurer	sichern	words	B1	verb		assurer	103.48
le mouvement	Satz	words	B1	noun	masculine	mouvement	102.17
actuel	jetzig	words	B1	adjective	masculine	actuel	99.26
public	öffentlich	words	B1	adjective	masculine	public	97.99
physique	physisch	words	B1	adjective		physique	96.04
lier	binden	words	B1	verb		lier	93.38
le crime	Verbrechen	words	B1	noun	masculine	crime	92.04
valoir	gelten	words	B1	verb		valoir	91.38
la maladie	Morbus	words	B1	noun	feminine	maladie	91.00
l' assassin	Mörder	words	B1	noun	masculine	assassin	90.75
la victime	Opfer	words	B1	noun	feminine	victime	89.66
la poche	Tasche	words	B1	noun	feminine	poche	89.27
le contraire	Gegensatz	words	B1	noun	masculine	contraire	88.30
la mesure	Maß	words	B1	noun	feminine	mesure	86.66
attirer	ködern	words	B1	verb		attirer	86.47
afin	damit	words	B1	conjunction		afin	86.26
importer	einführen	words	B1	verb		importer	84.31
la formation	Bildung	words	B1	noun	feminine	formation	82.42
l' individu	Einzelne	words	B1	noun	masculine	individu	81.96
augmenter	anheben	words	B1	verb		augmenter	80.79
estimer	ehren	words	B1	verb		estimer	79.71
adresser	senden	words	B1	verb		adresser	79.30
le risque	Risiko	words	B1	noun	masculine	risque	78.09
le danger	Gefahr	words	B1	noun	masculine	danger	77.53
le couteau	Messer	words	B1	noun	masculine	couteau	77.26
puisque	doch	words	B1	conjunction		puisque	76.66
tendre	spannen	words	B1	verb		tendre	76.63
tenter	versuchen	words	B1	verb		tenter	75.79
charger	laden	words	B1	verb		charger	75.48
la tendance	Hang	words	B1	noun	feminine	tendance	73.55
affirmer	bejahen	words	B1	verb		affirmer	72.97
le comportement	Benehmen	words	B1	noun	masculine	comportement	72.91
la consommation	Trank	words	B1	noun	feminine	consommation	72.66
imposer	anlegen	words	B1	verb		imposer	72.21
le policier	Polizist	words	B1	noun	masculine	policier	72.14
le Franc	Franke	words	B1	noun	masculine	franc	71.01
le courant	Strom	words	B1	noun	masculine	courant	70.89
la preuve	Beleg	words	B1	noun	feminine	preuve	69.44
la machine	Maschine	words	B1	noun	feminine	machine	68.79
atteindre	ereilen	words	B1	verb		atteindre	67.65
ministre	Minister	words	B1	noun		ministre	67.55
hors	außerhalb	words	B1	preposition		hors	67.24
entourer	umgeben	words	B1	verb		entourer	66.94
le but	Tor	words	B1	noun	masculine	but	66.63
l' hasard	Gefahr	words	B1	noun	masculine	hasard	66.30
oser	wagen	words	B1	verb		oser	65.93
l' expression	Ausdruck	words	B1	noun	feminine	expression	64.71
relever	ablösen	words	B1	verb		relever	64.56
l' usage	Sitte	words	B1	noun	masculine	usage	63.71
poursuivre	belangen	words	B1	verb		poursuivre	63.71
le contrat	Vertrag	words	B1	noun	masculine	contrat	62.73
serrer	drücken	words	B1	verb		serrer	62.49
emporter	ereifern	words	B1	verb		emporter	62.48
le geste	Geste	words	B1	noun	masculine	geste	62.35
opposer	ablehnen	words	B1	verb		opposer	62.23
la mise	Einsatz	words	B1	noun	feminine	mise	62.22
condamner	verdammen	words	B1	verb		condamner	61.77
la trace	Spur	words	B1	noun	feminine	trace	61.27
profond	tief	words	B1	adjective	masculine	profond	61.26
juger	richten	words	B1	verb		juger	61.16
la centaine	Hundert	words	B1	noun	feminine	centaine	61.07
souffrir	leiden	words	B1	verb		souffrir	60.63
le peuple	Volk	words	B1	noun	masculine	peuple	60.32
ouvert	offen	words	B1	adjective		ouvert	60.15
sombre	trübe	words	B1	adjective		sombre	59.86
soi	selbst	words	B1	pronoun		soi	58.97
employer	anwenden	words	B1	verb		employer	58.70
faible	flau	words	B1	adjective		faible	58.43
cesser	beenden	words	B1	verb		cesser	58.20
le rythme	Rhythmus	words	B1	noun	masculine	rythme	57.75
la violence	Gewalt	words	B1	noun	feminine	violence	57.61
la voie	Weg	words	B1	noun	feminine	voie	57.40
signifier	heißen	words	B1	verb		signifier	57.05
le membre	Glied	words	B1	noun	masculine	membre	56.96
menacer	drohen	words	B1	verb		menacer	56.90
la lutte	Kampf	words	B1	noun	feminine	lutte	56.80
le sol	Sol	words	B1	noun	masculine	sol	56.66
l' appel	Ruf	words	B1	noun	masculine	appel	56.60
provoquer	verursachen	words	B1	verb		provoquer	56.29
limiter	begrenzen	words	B1	verb		limiter	55.97
enfuir	fliehen	words	B1	verb		enfuir	54.99
unique	einzig	words	B1	adjective		unique	54.61
le consommateur	Konsument	words	B1	noun	masculine	consommateur	54.25
blesser	verletzen	words	B1	verb		blesser	54.09
prononcer	halten	words	B1	verb		prononcer	54.04
l' effort	Last	words	B1	noun	masculine	effort	53.15
bouger	regen	words	B1	verb		bouger	52.25
le trou	Kaff	words	B1	noun	masculine	trou	52.00
baisser	senken	words	B1	verb		baisser	51.60
debout	aufrecht	words	B1	adverb		debout	51.57
l' existence	Leben	words	B1	noun	feminine	existence	51.56
le fil	Garn	words	B1	noun	masculine	fil	51.35
le lecteur	Leser	words	B1	noun	masculine	lecteur	50.43
l' opinion	Meinung	words	B1	noun	feminine	opinion	49.88
adopter	nehmen	words	B1	verb		adopter	49.74
le sein	Brust	words	B1	noun	masculine	sein	49.70
pencher	beugen	words	B1	verb		pencher	49.36
traiter	heißen	words	B1	verb		traiter	49.26
contenir	haben	words	B1	verb		contenir	48.61
l' utilisation	Gebrauch	words	B1	noun	feminine	utilisation	48.38
l' acteur	Akteur	words	B1	noun	masculine	acteur	48.31
le principe	Prinzip	words	B1	noun	masculine	principe	48.28
minuit	Mitternacht	words	B1	noun		minuit	48.18
le savoir	wissen	words	B1	noun	masculine	savoir	47.98
voire	selbst	words	B1	adverb		voire	47.85
l' acte	Tat	words	B1	noun	masculine	acte	47.59
la charge	Ladung	words	B1	noun	feminine	charge	47.37
la dizaine	Zehn	words	B1	noun	feminine	dizaine	47.15
la foule	Menge	words	B1	noun	feminine	foule	47.11
la faute	Fehler	words	B1	noun	feminine	faute	47.09
rapporter	melden	words	B1	verb		rapporter	46.69
le propos	Plan	words	B1	noun	masculine	propos	46.26
transmettre	bestellen	words	B1	verb		transmettre	45.99
le millier	Tausend	words	B1	noun	masculine	millier	45.74
l' absence	Absenz	words	B1	noun	feminine	absence	45.69
agent	Agens	words	B1	noun		agent	45.63
parvenir	ankommen	words	B1	verb		parvenir	44.82
le salaire	Gage	words	B1	noun	masculine	salaire	44.74
la conscience	Gewissen	words	B1	noun	feminine	conscience	44.71
fort	Festung	words	B1	adverb	masculine	fort	44.70
modifier	ändern	words	B1	verb		modifier	44.67
la revanche	Rache	words	B1	noun	feminine	revanche	44.56
l' importance	Rolle	words	B1	noun	feminine	importance	44.47
le changement	Wechsel	words	B1	noun	masculine	changement	44.39
diminuer	sinken	words	B1	verb		diminuer	44.36
accorder	stimmen	words	B1	verb		accorder	44.31
amener	bringen	words	B1	verb		amener	44.08
technique	technisch	words	B1	adjective		technique	43.73
supposer	annehmen	words	B1	verb		supposer	43.69
l' annonce	Anzeige	words	B1	noun	feminine	annonce	43.62
destiner	bestimmen	words	B1	verb		destiner	43.61
artistique	kunstvoll	words	B1	adjective		artistique	43.17
financier	Finanzier	words	B1	adjective	masculine	financier	43.16
autrefois	Gestern	words	B1	adverb	masculine	autrefois	43.15
davantage	groß	words	B1	adverb		davantage	43.09
la princesse	Fürstin	words	B1	noun	feminine	princesse	43.01
le quotidien	Tag	words	B1	noun	masculine	quotidien	42.67
le citoyen	Bürger	words	B1	noun	masculine	citoyen	42.44
le malheur	Malheur	words	B1	noun	masculine	malheur	42.40
l' avance	Erker	words	B1	noun	feminine	avance	42.36
le cerveau	Hirn	words	B1	noun	masculine	cerveau	41.82
correspondre	entsprechen	words	B1	verb		correspondre	41.70
cent	Cent	words	B1	noun		cent	41.57
l' avocat	Anwalt	words	B1	noun	masculine	avocat	41.48
l' objectif	Ziel	words	B1	noun	masculine	objectif	41.31
tabac	Tabak	words	B1	noun		tabac	41.30
le bien	gut	words	B1	noun	masculine	bien	41.19
le particulier	Person	words	B1	noun	masculine	particulier	41.10
la source	Born	words	B1	noun	feminine	source	41.02
la manifestation	Kundgebung	words	B1	noun	feminine	manifestation	40.98
la puissance	Macht	words	B1	noun	feminine	puissance	40.97
l' attente	Warten	words	B1	noun	feminine	attente	40.90
parfaitement	bestens	words	B1	adverb		parfaitement	40.89
effectuer	ausführen	words	B1	verb		effectuer	40.72
signer	markieren	words	B1	verb		signer	40.54
l' aspect	Aspekt	words	B1	noun	masculine	aspect	40.30
la somme	Summe	words	B1	noun	feminine	somme	40.22
la disparition	Abzug	words	B1	noun	feminine	disparition	40.13
contribuer	mitwirken	words	B1	verb		contribuer	40.00
absolument	durchaus	words	B1	adverb		absolument	39.98
le festival	Festival	words	B1	noun	masculine	festival	39.89
l' espoir	Hoffnung	words	B1	noun	masculine	espoir	39.11
livrer	angeben	words	B1	verb		livrer	39.02
le cou	Hals	words	B1	noun	masculine	cou	38.82
le gendarme	Gendarm	words	B1	noun	masculine	gendarme	38.81
le manteau	Mantel	words	B1	noun	masculine	manteau	38.34
collectif	gemeinsam	words	B1	adjective		collectif	37.94
le compagnon	Genosse	words	B1	noun	masculine	compagnon	37.68
le tiers	Drittel	words	B1	noun	masculine	tiers	37.65
distinguer	trennen	words	B1	verb		distinguer	37.48
le dehors	Äußere	words	B1	noun	masculine	dehors	37.34
inutile	unnütz	words	B1	adjective		inutile	37.27
risquer	wagen	words	B1	verb		risquer	37.18
totalement	gänzlich	words	B1	adverb		totalement	37.12
la vitesse	Eile	words	B1	noun	feminine	vitesse	37.02
traduire	übergeben	words	B1	verb		traduire	36.96
la revue	Revue	words	B1	noun	feminine	revue	36.78
civil	bürgerlich	words	B1	adjective		civil	36.57
plaindre	bedauern	words	B1	verb		plaindre	36.52
le paysan	Bauer	words	B1	noun	masculine	paysan	36.24
pareil	gleich	words	B1	adjective		pareil	36.23
religieux	religiös	words	B1	adjective		religieux	36.14
la veille	Tag	words	B1	noun	feminine	veille	36.11
le front	Front	words	B1	noun	masculine	front	35.92
le lac	See	words	B1	noun	masculine	lac	35.91
maigre	dünn	words	B1	adjective		maigre	35.90
consister	bestehen	words	B1	verb		consister	35.75
la vente	Verkauf	words	B1	noun	feminine	vente	35.69
le dossier	Akte	words	B1	noun	masculine	dossier	35.59
grandir	wachsen	words	B1	verb		grandir	35.54
le manque	Manko	words	B1	noun	masculine	manque	35.44
l' entretien	Pflege	words	B1	noun	masculine	entretien	35.10
total	total	words	B1	adjective		total	35.02
la chemise	Hemd	words	B1	noun	feminine	chemise	35.01
silencieux	still	words	B1	adjective		silencieux	34.96
impliquer	verwickeln	words	B1	verb		impliquer	34.91
couler	gießen	words	B1	verb		couler	34.88
multiplier	vermehren	words	B1	verb		multiplier	34.49
associer	verbinden	words	B1	verb		associer	34.31
le gaz	Gas	words	B1	noun	masculine	gaz	34.19
la cigarette	Zigarette	words	B1	noun	feminine	cigarette	34.16
la critique	Tadel	words	B1	noun	feminine	critique	33.66
soulever	heben	words	B1	verb		soulever	33.34
le soin	Sorge	words	B1	noun	masculine	soin	33.27
accuser	anklagen	words	B1	verb		accuser	33.07
policier	Polizist	words	B1	adjective	masculine	policier	32.99
magique	magisch	words	B1	adjective		magique	32.97
le respect	Respekt	words	B1	noun	masculine	respect	32.88
municipal	munizipal	words	B1	adjective		municipal	32.64
le milliard	Milliarde	words	B1	noun	masculine	milliard	32.63
l' offre	Antrag	words	B1	noun	feminine	offre	32.61
puissant	stark	words	B1	adjective		puissant	32.54
la surface	Belag	words	B1	noun	feminine	surface	32.49
la star	Star	words	B1	noun	feminine	star	32.45
voter	wählen	words	B1	verb		voter	32.24
le tissu	Stoff	words	B1	noun	masculine	tissu	32.23
solide	fest	words	B1	adjective		solide	32.16
la Don	Don	words	B1	noun	feminine	don	32.16
le sexe	Sex	words	B1	noun	masculine	sexe	32.05
jurer	schwören	words	B1	verb		jurer	32.03
le tort	Fehler	words	B1	noun	masculine	tort	31.92
certes	zugegeben	words	B1	adverb		certes	31.86
saisir	fangen	words	B1	verb		saisir	31.76
renvoyer	kotzen	words	B1	verb		renvoyer	31.69
l' administration	Verwalten	words	B1	noun	feminine	administration	31.64
soigner	heilen	words	B1	verb		soigner	31.60
rassembler	bündeln	words	B1	verb		rassembler	31.56
largement	in Fülle	words	B1	adverb		largement	31.55
l' urgence	Urgenz	words	B1	noun	feminine	urgence	31.52
le bouton	Knauf	words	B1	noun	masculine	bouton	31.46
disputer	rechten	words	B1	verb		disputer	31.33
urbain	städtisch	words	B1	adjective		urbain	31.13
l' intelligence	Verstand	words	B1	noun	feminine	intelligence	30.77
naturellement	natürlich	words	B1	adverb		naturellement	30.59
circuler	bewegen	words	B1	verb		circuler	30.57
le robot	Roboter	words	B1	noun	masculine	robot	30.26
hurler	iahen	words	B1	verb		hurler	30.21
comporter	benehmen	words	B1	verb		comporter	30.17
la remarque	Vermerk	words	B1	noun	feminine	remarque	30.01
le vivant	Lebender	words	B1	noun	masculine	vivant	29.96
partenaire	Partner	words	B1	noun		partenaire	29.95
la catastrophe	Katastrophe	words	B1	noun	feminine	catastrophe	29.76
l' attitude	Haltung	words	B1	noun	feminine	attitude	29.74
envahir	befallen	words	B1	verb		envahir	29.67
la bataille	Hieb	words	B1	noun	feminine	bataille	29.57
furieux	toll	words	B1	adjective		furieux	29.43
nommer	heißen	words	B1	verb		nommer	29.33
renoncer	ablassen	words	B1	verb		renoncer	29.32
probablement	wohl	words	B1	adverb		probablement	29.26
exiger	fordern	words	B1	verb		exiger	29.25
autrement	anders	words	B1	adverb		autrement	29.24
bas	Strumpf	words	B1	noun		bas	29.24
majeur	wichtig	words	B1	adjective	masculine	majeur	29.23
extraire	abbauen	words	B1	verb		extraire	29.18
peser	wägen	words	B1	verb		peser	29.17
supporter	dulden	words	B1	verb		supporter	29.17
le revenu	Rente	words	B1	noun	masculine	revenu	28.90
reculer	fristen	words	B1	verb		reculer	28.79
la limite	Limit	words	B1	noun	feminine	limite	28.62
la chasse	Jagd	words	B1	noun	feminine	chasse	28.62
l' industrie	Industrie	words	B1	noun	feminine	industrie	28.59
coupable	schuld	words	B1	adjective		coupable	28.58
encourager	ermuntern	words	B1	verb		encourager	28.47
le courrier	Post	words	B1	noun	masculine	courrier	28.33
bouleverser	erschüttern	words	B1	verb		bouleverser	28.20
causer	bereiten	words	B1	verb		causer	28.03
transporter	befördern	words	B1	verb		transporter	27.96
la formule	Formel	words	B1	noun	feminine	formule	27.95
nourrir	hegen	words	B1	verb		nourrir	27.90
intervenir	einschreiten	words	B1	verb		intervenir	27.86
confier	zutrauen	words	B1	verb		confier	27.75
docteur	Arzt	words	B1	noun		docteur	27.73
demeurer	hausen	words	B1	verb		demeurer	27.32
le langage	Sprache	words	B1	noun	masculine	langage	27.30
indispensable	unbedingt	words	B1	adjective		indispensable	27.29
l' initiative	Initiative	words	B1	noun	feminine	initiative	27.27
l' assiette	Lage	words	B1	noun	feminine	assiette	27.20
le boulot	Maloche	words	B1	noun	masculine	boulot	27.17
deviner	ahnen	words	B1	verb		deviner	27.13
la tristesse	Traurigkeit	words	B1	noun	feminine	tristesse	26.92
le meuble	Möbel	words	B1	noun	masculine	meuble	26.87
le secours	Notdienst	words	B1	noun	masculine	secours	26.80
supprimer	kürzen	words	B1	verb		supprimer	26.70
le minimum	Minimum	words	B1	noun	masculine	minimum	26.70
le costume	Anzug	words	B1	noun	masculine	costume	26.66
admettre	zugeben	words	B1	verb		admettre	26.61
respirer	atmen	words	B1	verb		respirer	26.57
la couverture	Decke	words	B1	noun	feminine	couverture	26.41
enregistrer	speichern	words	B1	verb		enregistrer	26.38
le rideau	Store	words	B1	noun	masculine	rideau	26.37
universel	universal	words	B1	adjective		universel	26.34
dresser	machen	words	B1	verb		dresser	26.29
la victoire	Sieg	words	B1	noun	feminine	victoire	26.24
aborder	entern	words	B1	verb		aborder	26.18
le commun	Gemeinschaft	words	B1	noun	masculine	commun	25.99
la poitrine	Brust	words	B1	noun	feminine	poitrine	25.99
contrairement	Gegensatz	words	B1	adverb		contrairement	25.94
brillant	hell	words	B1	adjective		brillant	25.93
examiner	prüfen	words	B1	verb		examiner	25.89
l' apprentissage	Lehre	words	B1	noun	masculine	apprentissage	25.89
le pot	Krug	words	B1	noun	masculine	pot	25.86
efficace	wirksam	words	B1	adjective		efficace	25.80
communiquer	mitteilen	words	B1	verb		communiquer	25.77
l' hauteur	Höhe	words	B1	noun	feminine	hauteur	25.72
domestique	Haus	words	B1	noun		domestique	25.68
objectif	objektiv	words	B1	adjective		objectif	25.68
vivant	belebt	words	B1	adjective		vivant	25.62
disponible	vorrätig	words	B1	adjective		disponible	25.60
la structure	Bildung	words	B1	noun	feminine	structure	25.49
l' imagination	Idee	words	B1	noun	feminine	imagination	25.39
accrocher	haken	words	B1	verb		accrocher	25.24
interrompre	abbrechen	words	B1	verb		interrompre	25.17
le figuré	bildlich	words	B1	noun	masculine	figure	25.13
psychologique	psychologisch	words	B1	adjective		psychologique	25.07
le parcours	Strecke	words	B1	noun	masculine	parcours	25.04
la fiction	Fiktion	words	B1	noun	feminine	fiction	25.02
le rayon	Roß	words	B1	noun	masculine	rayon	24.94
le marchand	Händler	words	B1	noun	masculine	marchand	24.93
l' influence	Einfluss	words	B1	noun	feminine	influence	24.67
la vision	Vision	words	B1	noun	feminine	vision	24.62
le conflit	Streit	words	B1	noun	masculine	conflit	24.42
la guide	Leine	words	B1	noun	feminine	guide	24.37
provenir	stammen	words	B1	verb		provenir	24.27
toutefois	indessen	words	B1	adverb		toutefois	24.24
gai	heiter	words	B1	adjective		gai	24.23
distribuer	geben	words	B1	verb		distribuer	24.19
satisfaire	befriedigen	words	B1	verb		satisfaire	24.01
central	zentral	words	B1	adjective	masculine	central	24.00
croiser	kreuzen	words	B1	verb		croiser	24.00
