"id","fr","de","wortart","genus","beispielsatz_fr","themenfeld","quelle","created_at"
"439","quel temps fait-il","wie ist das Wetter","phrase","","Quel temps fait-il aujourd'hui à Paris ?","Natur","",""
"500","pourquoi","warum","pronoun","","Pourquoi tu es triste ?","Meinungen & Kommunikation","",""
"501","quand","wann","pronoun","","Quand est-ce que tu arrives ?","Meinungen & Kommunikation","",""
"502","comment","wie","pronoun","","Comment fonctionne ce bouton ?","Meinungen & Kommunikation","",""
"503","où","wo","pronoun","","Où commence la visite ?","Meinungen & Kommunikation","",""
"504","qui","wer","pronoun","","Qui a laissé ce message ?","Meinungen & Kommunikation","",""
"505","avec","mit","preposition","","Je viens avec ma sœur.","Meinungen & Kommunikation","",""
"506","sans","ohne","preposition","","Je sors sans veste aujourd'hui.","Meinungen & Kommunikation","",""
"507","sur","auf","preposition","","Le livre est sur la table.","Meinungen & Kommunikation","",""
"508","sous","unter","preposition","","Les clés sont sous le journal.","Meinungen & Kommunikation","",""
"509","entre","zwischen","preposition","","La poste est entre la banque et la pharmacie.","Meinungen & Kommunikation","",""
"510","avant","vor","preposition","","Je prends un café avant le travail.","Meinungen & Kommunikation","",""
"511","après","nach","preposition","","Après l'école, je vais au parc.","Meinungen & Kommunikation","",""
"512","goûter","probieren; kosten","verb","","On peut goûter un nouveau plat.","Essen","",""
"513","servir","servieren","verb","","On peut servir le repas rapidement.","Essen","",""
"514","couper","schneiden","verb","","Dans la vie quotidienne, on peut couper.","Essen","",""
"515","la faim","der Hunger","noun","f","Après le sport, j'ai très faim.","Trinken & Gastronomie","",""
"516","la soif","der Durst","noun","f","On voit la soif sur la photo.","Trinken & Gastronomie","",""
"517","le repas","die Mahlzeit","noun","m","On voit le repas sur la photo.","Trinken & Gastronomie","",""
"518","le menu","die Speisekarte","noun","m","On voit le menu sur la photo.","Trinken & Gastronomie","",""
"519","le dessert","die Nachspeise","noun","m","Mon dessert préféré est la glace.","Trinken & Gastronomie","",""
"520","la soupe","die Suppe","noun","f","On voit la soupe sur la photo.","Trinken & Gastronomie","",""
"521","le poulet","das Hähnchen","noun","m","On voit le poulet sur la photo.","Trinken & Gastronomie","",""
"522","le riz","der Reis","noun","m","On voit le riz sur la photo.","Trinken & Gastronomie","",""
"523","les pâtes","die Nudeln","noun","","On voit les pâtes sur la photo.","Trinken & Gastronomie","",""
"524","l'œuf","das Ei","noun","","On voit l'œuf sur la photo.","Trinken & Gastronomie","",""
"525","le beurre","die Butter","noun","m","On voit le beurre sur la photo.","Trinken & Gastronomie","",""
"526","le sucre","der Zucker","noun","m","On voit le sucre sur la photo.","Trinken & Gastronomie","",""
"527","le sel","das Salz","noun","m","On voit le sel sur la photo.","Trinken & Gastronomie","",""
"528","le poivre","der Pfeffer","noun","m","On voit le poivre sur la photo.","Trinken & Gastronomie","",""
"529","le fruit","das Obst","noun","m","On voit le fruit sur la photo.","Trinken & Gastronomie","",""
"530","le légume","das Gemüse","noun","m","On voit le légume sur la photo.","Trinken & Gastronomie","",""
"531","la fraise","die Erdbeere","noun","f","On voit la fraise sur la photo.","Trinken & Gastronomie","",""
"532","l'orange","die Orange","noun","","On voit l'orange sur la photo.","Trinken & Gastronomie","",""
"533","la glace","das Eis","noun","f","On voit la glace sur la photo.","Trinken & Gastronomie","",""
"534","la pizza","die Pizza","noun","f","On voit la pizza sur la photo.","Trinken & Gastronomie","",""
"535","le sandwich","das Sandwich","noun","m","On voit le sandwich sur la photo.","Trinken & Gastronomie","",""
"536","la boisson","das Getränk","noun","f","On voit la boisson sur la photo.","Trinken & Gastronomie","",""
"537","j'ai très faim","ich habe großen Hunger","phrase","","J'ai très faim.","Essen","",""
"538","qu'est-ce que tu manges","was isst du","phrase","","Qu'est-ce que tu manges ?","Essen","",""
"539","je voudrais une pizza","ich hätte gern eine Pizza","phrase","","Au restaurant, je voudrais une pizza et de l'eau.","Essen","",""
"540","c'est délicieux","das ist köstlich","phrase","","C'est délicieux.","Essen","",""
"541","je n'aime pas ça","das mag ich nicht","phrase","","Je n'aime pas ça.","Essen","",""
"542","on mange à quelle heure","um wie viel Uhr essen wir","phrase","","On mange à quelle heure.","Essen","",""
"543","je prends un dessert","ich nehme eine Nachspeise","phrase","","Je prends un dessert.","Essen","",""
"551","le tableau","die Tafel","noun","m","Le professeur écrit au tableau.","Schule","",""
"552","la feuille","das Blatt","noun","f","Aujourd'hui, le cours porte sur la feuille.","Schule","",""
"553","la note","die Note","noun","f","Aujourd'hui, le cours porte sur la note.","Schule","",""
"554","le contrôle","der Test","noun","m","Aujourd'hui, le cours porte sur le contrôle.","Schule","",""
"555","l'examen","die Prüfung","noun","","Aujourd'hui, le cours porte sur l'examen.","Schule","",""
"556","la règle","das Lineal","noun","f","Aujourd'hui, le cours porte sur la règle.","Schule","",""
"557","la calculatrice","der Taschenrechner","noun","f","Aujourd'hui, le cours porte sur la calculatrice.","Schule","",""
"558","le dictionnaire","das Wörterbuch","noun","m","Aujourd'hui, le cours porte sur le dictionnaire.","Schule","",""
"559","la page","die Seite","noun","f","Aujourd'hui, le cours porte sur la page.","Schule","",""
"560","le groupe","die Gruppe","noun","m","Aujourd'hui, le cours porte sur le groupe.","Schule","",""
"561","le projet","das Projekt","noun","m","Notre projet parle de Paris.","Schule","",""
"562","la présentation","die Präsentation","noun","f","Aujourd'hui, le cours porte sur la présentation.","Schule","",""
"563","le texte","der Text","noun","m","Aujourd'hui, le cours porte sur le texte.","Schule","",""
"564","la phrase","der Satz","noun","f","Aujourd'hui, le cours porte sur la phrase.","Schule","",""
"565","le mot","das Wort","noun","m","Aujourd'hui, le cours porte sur le mot.","Schule","",""
"566","la traduction","die Übersetzung","noun","f","Aujourd'hui, le cours porte sur la traduction.","Schule","",""
"567","la grammaire","die Grammatik","noun","f","Aujourd'hui, le cours porte sur la grammaire.","Schule","",""
"568","je peux aller aux toilettes","kann ich auf die Toilette gehen","phrase","","Je peux aller aux toilettes.","Schule","",""
"569","j'ai terminé","ich bin fertig","phrase","","J'ai terminé.","Schule","",""
"570","je n'ai pas compris la question","ich habe die Frage nicht verstanden","phrase","","Je n'ai pas compris la question.","Schule","",""
"571","travaillez en groupe","arbeitet in Gruppen","phrase","","Travaillez en groupe.","Schule","",""
"572","écrivez la date","schreibt das Datum","phrase","","Écrivez la date.","Schule","",""
"573","ouvrez vos cahiers","öffnet eure Hefte","phrase","","Ouvrez vos cahiers.","Schule","",""
"574","quelle page","welche Seite","phrase","","Quelle page ?","Schule","",""
"575","comment ça s'écrit","wie schreibt man das","phrase","","Comment ça s'écrit en français ?","Schule","",""
"576","sortir avec des amis","mit Freunden ausgehen","phrase","","Dans la vie quotidienne, on peut sortir avec des amis.","Freizeit & Hobbys","",""
"577","nager","schwimmen","verb","","En été, j'aime nager à la piscine.","Freizeit & Hobbys","",""
"578","courir","laufen","verb","","Dans la vie quotidienne, on peut courir.","Freizeit & Hobbys","",""
"579","chanter","singen","verb","","Dans la vie quotidienne, on peut chanter.","Freizeit & Hobbys","",""
"580","danser","tanzen","verb","","Dans la vie quotidienne, on peut danser.","Freizeit & Hobbys","",""
"581","collectionner","sammeln","verb","","Dans la vie quotidienne, on peut collectionner.","Freizeit & Hobbys","",""
"582","se détendre","sich entspannen","verb","","Après le travail, j'aime me détendre avec de la musique.","Freizeit & Hobbys","",""
"583","gagner","gewinnen","verb","","Dans la vie quotidienne, on peut gagner.","Freizeit & Hobbys","",""
"584","perdre","verlieren","verb","","Dans la vie quotidienne, on peut perdre.","Freizeit & Hobbys","",""
"585","le match","das Spiel; Match","noun","m","Dans la vie quotidienne, on parle souvent de le match.","Freizeit & Hobbys","",""
"586","l'entraînement","das Training","noun","","Dans la vie quotidienne, on parle souvent de l'entraînement.","Freizeit & Hobbys","",""
"587","l'équipe","die Mannschaft","noun","","Dans la vie quotidienne, on parle souvent de l'équipe.","Freizeit & Hobbys","",""
"588","le joueur","der Spieler","noun","m","Dans la vie quotidienne, on parle souvent de le joueur.","Freizeit & Hobbys","",""
"589","le concert","das Konzert","noun","m","Dans la vie quotidienne, on parle souvent de le concert.","Freizeit & Hobbys","",""
"590","le spectacle","die Aufführung","noun","m","Dans la vie quotidienne, on parle souvent de le spectacle.","Freizeit & Hobbys","",""
"591","le week-end","das Wochenende","noun","m","Le week-end, je sors avec mes amis.","Freizeit & Hobbys","",""
"592","le passe temps","die Freizeitbeschäftigung","noun","m","Dans la vie quotidienne, on parle souvent de le passe temps.","Freizeit & Hobbys","",""
"593","la télévision","das Fernsehen","noun","f","Dans la vie quotidienne, on parle souvent de la télévision.","Freizeit & Hobbys","",""
"594","la radio","das Radio","noun","f","Dans la vie quotidienne, on parle souvent de la radio.","Freizeit & Hobbys","",""
"595","la tablette","das Tablet","noun","f","Dans la vie quotidienne, on parle souvent de la tablette.","Freizeit & Hobbys","",""
"596","le casque","der Kopfhörer","noun","m","Dans la vie quotidienne, on parle souvent de le casque.","Freizeit & Hobbys","",""
"597","qu'est-ce que tu fais le week-end","was machst du am Wochenende","phrase","","Qu'est-ce que tu fais le week-end ? Je joue au tennis.","Freizeit & Hobbys","",""
"598","j'écoute de la musique","ich höre Musik","phrase","","J'écoute de la musique.","Freizeit & Hobbys","",""
"599","je regarde une série","ich schaue eine Serie","phrase","","Je regarde une série.","Freizeit & Hobbys","",""
"600","on joue ensemble","wir spielen zusammen","phrase","","On joue ensemble.","Freizeit & Hobbys","",""
"601","j'ai gagné","ich habe gewonnen","phrase","","J'ai gagné.","Freizeit & Hobbys","",""
"602","j'ai perdu","ich habe verloren","phrase","","J'ai perdu.","Freizeit & Hobbys","",""
"603","la date","das Datum","noun","f","C'est la date.","Zahlen & Zeit","",""
"604","le calendrier","der Kalender","noun","m","Le calendrier est accroché dans la cuisine.","Zahlen & Zeit","",""
"605","l'horloge","die Uhr","noun","","L'horloge indique déjà midi.","Zahlen & Zeit","",""
"606","l'anniversaire","der Geburtstag","noun","","Mon anniversaire est en octobre.","Zahlen & Zeit","",""
"607","le lundi","der Montag","noun","m","Lundi, nous avons sport à la première heure.","Zahlen & Zeit","",""
"608","le mardi","der Dienstag","noun","m","Mardi, je termine les cours à seize heures.","Zahlen & Zeit","",""
"609","le mercredi","der Mittwoch","noun","m","Mercredi, ma sœur n'a pas cours l'après-midi.","Zahlen & Zeit","",""
"610","le jeudi","der Donnerstag","noun","m","Jeudi, nous allons à la bibliothèque.","Zahlen & Zeit","",""
"611","le vendredi","der Freitag","noun","m","Vendredi, toute la classe semble fatiguée.","Zahlen & Zeit","",""
"612","le samedi","der Samstag","noun","m","Samedi, nous faisons les courses en famille.","Zahlen & Zeit","",""
"613","le dimanche","der Sonntag","noun","m","Dimanche, la maison est plus calme.","Zahlen & Zeit","",""
"614","janvier","Januar","noun","","En janvier, il fait souvent froid.","Zahlen & Zeit","",""
"615","février","Februar","noun","","En février, il fait encore froid.","Zahlen & Zeit","",""
"616","mars","März","noun","","En mars, les arbres commencent à bourgeonner.","Zahlen & Zeit","",""
"617","avril","April","noun","","En avril, il pleut souvent.","Zahlen & Zeit","",""
"618","mai","Mai","noun","","En mai, les journées deviennent plus longues.","Zahlen & Zeit","",""
"619","juin","Juni","noun","","En juin, les examens approchent.","Zahlen & Zeit","",""
"620","juillet","Juli","noun","","En juillet, beaucoup de familles partent en vacances.","Zahlen & Zeit","",""
"621","août","August","noun","","En août, la ville est presque vide.","Zahlen & Zeit","",""
"622","septembre","September","noun","","En septembre, les élèves retournent à l'école.","Zahlen & Zeit","",""
"623","octobre","Oktober","noun","","En octobre, les feuilles tombent.","Zahlen & Zeit","",""
"624","novembre","November","noun","","En novembre, la nuit arrive tôt.","Zahlen & Zeit","",""
"625","décembre","Dezember","noun","","En décembre, les rues sont illuminées.","Zahlen & Zeit","",""
"626","quelle heure est-il","wie spät ist es","phrase","","Excuse-moi, quelle heure est-il ?","Zahlen & Zeit","",""
"627","il est huit heures","es ist acht Uhr","phrase","","Il est huit heures, on doit partir.","Zahlen & Zeit","",""
"628","à quelle heure","um wie viel Uhr","phrase","","À quelle heure commence ton cours ?","Zahlen & Zeit","",""
"629","aujourd'hui, c'est lundi","heute ist Montag","phrase","","Aujourd'hui, c'est lundi et il pleut.","Zahlen & Zeit","",""
"630","mon anniversaire est en mai","mein Geburtstag ist im Mai","phrase","","Mon anniversaire est en mai, juste avant l'été.","Zahlen & Zeit","",""
"631","nous sommes le 8 avril","wir haben den 8. April","phrase","","Nous sommes le 8 avril aujourd'hui.","Zahlen & Zeit","",""
"632","je","ich","pronoun","","Je suis à Berlin aujourd'hui.","Lernen & Bildung","",""
"633","tu","du","pronoun","","Tu arrives demain.","Lernen & Bildung","",""
"634","il","er","pronoun","","Il arrive demain.","Lernen & Bildung","",""
"635","elle","sie","pronoun","","Elle arrive demain.","Lernen & Bildung","",""
"636","nous","wir","pronoun","","Nous arrivons demain.","Lernen & Bildung","",""
"637","vous","ihr; Sie","pronoun","","Vous arrivez demain.","Lernen & Bildung","",""
"638","ils","sie","pronoun","","Ils arrivent demain.","Lernen & Bildung","",""
"639","elles","sie","pronoun","","Elles arrivent demain.","Lernen & Bildung","",""
"640","mon","mein","pronoun","","Mon livre est ici.","Lernen & Bildung","",""
"641","ma","meine","pronoun","","Ma veste est ici.","Lernen & Bildung","",""
"642","mes","meine","pronoun","","Mes clés sont ici.","Lernen & Bildung","",""
"643","ton","dein","pronoun","","Ton sac est prêt.","Lernen & Bildung","",""
"644","ta","deine","pronoun","","Ta chambre est prête.","Lernen & Bildung","",""
"645","tes","deine","pronoun","","Tes affaires sont prêtes.","Lernen & Bildung","",""
"646","son","sein; ihr","pronoun","","Son ami arrive.","Lernen & Bildung","",""
"647","sa","seine; ihre","pronoun","","Sa sœur arrive.","Lernen & Bildung","",""
"648","ses","seine; ihre","pronoun","","Ses parents arrivent.","Lernen & Bildung","",""
"649","notre","unser","pronoun","","Notre école est grande.","Lernen & Bildung","",""
"650","nos","unsere","pronoun","","Nos livres sont là.","Lernen & Bildung","",""
"651","votre","euer; Ihr","pronoun","","Votre table est prête.","Lernen & Bildung","",""
"652","vos","eure; Ihre","pronoun","","Vos billets sont ici.","Lernen & Bildung","",""
"653","leur","ihr","pronoun","","Leur professeur parle.","Lernen & Bildung","",""
"654","leurs","ihre","pronoun","","Leurs enfants jouent.","Lernen & Bildung","",""
"655","ce","dieser","pronoun","","Ce livre est utile.","Lernen & Bildung","",""
"656","cette","diese","pronoun","","Cette idée est bonne.","Lernen & Bildung","",""
"657","ces","diese","pronoun","","Ces phrases sont claires.","Lernen & Bildung","",""
"658","quel","welcher","pronoun","","Quel livre choisis-tu ?","Lernen & Bildung","",""
"659","quelle","welche","pronoun","","Quelle page cherches-tu ?","Lernen & Bildung","",""
"660","quels","welche","pronoun","","Quels exercices fais-tu ?","Lernen & Bildung","",""
"661","quelles","welche","pronoun","","Quelles questions poses-tu ?","Lernen & Bildung","",""
"662","habiter","wohnen","verb","","J'habite dans une petite maison.","Haus & Wohnen","",""
"663","ranger","aufräumen","verb","","Dans la vie quotidienne, on peut ranger.","Haus & Wohnen","",""
"664","nettoyer","putzen","verb","","Dans la vie quotidienne, on peut nettoyer.","Haus & Wohnen","",""
"665","allumer","anmachen","verb","","Dans la vie quotidienne, on peut allumer.","Haus & Wohnen","",""
"666","éteindre","ausschalten","verb","","Dans la vie quotidienne, on peut éteindre.","Haus & Wohnen","",""
"667","installer","einrichten","verb","","Dans la vie quotidienne, on peut installer.","Haus & Wohnen","",""
"668","décorer","dekorieren","verb","","Dans la vie quotidienne, on peut décorer.","Haus & Wohnen","",""
"669","le canapé","das Sofa","noun","m","Le canapé est dans le salon.","Haus & Wohnen","",""
"670","l'armoire","der Schrank","noun","","Dans la vie quotidienne, on parle souvent de l'armoire.","Haus & Wohnen","",""
"671","l'étagère","das Regal","noun","","Dans la vie quotidienne, on parle souvent de l'étagère.","Haus & Wohnen","",""
"672","le miroir","der Spiegel","noun","m","Dans la vie quotidienne, on parle souvent de le miroir.","Haus & Wohnen","",""
"673","le tapis","der Teppich","noun","m","Dans la vie quotidienne, on parle souvent de le tapis.","Haus & Wohnen","",""
"674","le frigo","der Kühlschrank","noun","m","Dans la vie quotidienne, on parle souvent de le frigo.","Haus & Wohnen","",""
"675","le four","der Ofen","noun","m","Dans la vie quotidienne, on parle souvent de le four.","Haus & Wohnen","",""
"676","la douche","die Dusche","noun","f","Dans la vie quotidienne, on parle souvent de la douche.","Haus & Wohnen","",""
"677","la serviette","das Handtuch","noun","f","Dans la vie quotidienne, on parle souvent de la serviette.","Haus & Wohnen","",""
"678","le ménage","der Haushalt","noun","m","Dans la vie quotidienne, on parle souvent de le ménage.","Haus & Wohnen","",""
"679","la lumière","das Licht","noun","f","Dans la vie quotidienne, on parle souvent de la lumière.","Haus & Wohnen","",""
"680","le voisinage","die Nachbarschaft","noun","m","Dans la vie quotidienne, on parle souvent de le voisinage.","Haus & Wohnen","",""
"681","j'habite dans un appartement","ich wohne in einer Wohnung","phrase","","J'habite dans un appartement.","Haus & Wohnen","",""
"682","ma chambre est petite","mein Zimmer ist klein","phrase","","Ma chambre est petite.","Haus & Wohnen","",""
"683","peux-tu ouvrir la fenêtre","kannst du das Fenster öffnen","phrase","","Peux-tu ouvrir la fenêtre ?","Haus & Wohnen","",""
"684","la lumière est allumée","das Licht ist an","phrase","","La lumière est allumée.","Haus & Wohnen","",""
"685","nous rangeons la chambre","wir räumen das Zimmer auf","phrase","","Nous rangeons la chambre.","Haus & Wohnen","",""
"686","viens chez moi","komm zu mir nach Hause","phrase","","Viens chez moi.","Haus & Wohnen","",""
"687","le caractère","der Charakter","noun","m","Dans la vie quotidienne, on parle souvent de le caractère.","Gefühle","",""
"688","le sourire","das Lächeln","noun","m","Dans la vie quotidienne, on parle souvent de le sourire.","Gefühle","",""
"689","les cheveux","die Haare","noun","","Dans la vie quotidienne, on parle souvent de les cheveux.","Gefühle","",""
"690","le visage","das Gesicht","noun","m","Dans la vie quotidienne, on parle souvent de le visage.","Gefühle","",""
"691","l'humour","der Humor","noun","","Dans la vie quotidienne, on parle souvent de l'humour.","Gefühle","",""
"692","la personnalité","die Persönlichkeit","noun","f","Dans la vie quotidienne, on parle souvent de la personnalité.","Gefühle","",""
"693","l'amitié","die Freundschaft","noun","","Dans la vie quotidienne, on parle souvent de l'amitié.","Gefühle","",""
"694","mince","schlank","adjective","","Il est mince.","Gefühle","",""
"695","fort","kräftig","adjective","","Il est fort.","Gefühle","",""
"696","timide","schüchtern","adjective","","Elle est timide au début.","Gefühle","",""
"697","ouvert","offen","adjective","","Le musée est ouvert le samedi.","Gefühle","",""
"698","sérieux","ernst","adjective","","Il est sérieux.","Gefühle","",""
"699","créatif","kreativ","adjective","","Il est créatif.","Gefühle","",""
"700","patient","geduldig","adjective","","Il est patient.","Gefühle","",""
"701","impatient","ungeduldig","adjective","","Il est impatient.","Gefühle","",""
"702","poli","höflich","adjective","","Il est toujours poli avec les professeurs.","Gefühle","",""
"703","curieux","neugierig","adjective","","Les élèves curieux posent beaucoup de questions.","Gefühle","",""
"704","il a les cheveux bruns","er hat braune Haare","phrase","","Mon frère a les cheveux bruns.","Meinungen & Kommunikation","",""
"705","elle a les yeux bleus","sie hat blaue Augen","phrase","","Elle a les yeux bleus.","Meinungen & Kommunikation","",""
"706","il est très gentil","er ist sehr nett","phrase","","Il est très gentil.","Meinungen & Kommunikation","",""
"707","elle est un peu timide","sie ist etwas schüchtern","phrase","","Elle est un peu timide.","Meinungen & Kommunikation","",""
"708","mon ami est drôle","mein Freund ist lustig","phrase","","Mon ami est drôle.","Meinungen & Kommunikation","",""
"709","comment est-il","wie ist er","phrase","","Comment est-il ?","Meinungen & Kommunikation","",""
"755","zéro","null","adjective","","Le nombre est zéro.","Lernen & Bildung","",""
"756","un","eins; ein","adjective","","Le nombre est un.","Lernen & Bildung","",""
"757","deux","zwei","adjective","","J'ai deux chats à la maison.","Lernen & Bildung","",""
"758","trois","drei","adjective","","Le nombre est trois.","Lernen & Bildung","",""
"759","quatre","vier","adjective","","Le nombre est quatre.","Lernen & Bildung","",""
"760","cinq","fünf","adjective","","Le nombre est cinq.","Lernen & Bildung","",""
"761","six","sechs","adjective","","Le nombre est six.","Lernen & Bildung","",""
"762","sept","sieben","adjective","","Le nombre est sept.","Lernen & Bildung","",""
"763","huit","acht","adjective","","Le nombre est huit.","Lernen & Bildung","",""
"764","neuf","neun","adjective","","Le nombre est neuf.","Lernen & Bildung","",""
"765","dix","zehn","adjective","","Le nombre est dix.","Lernen & Bildung","",""
"766","vingt","zwanzig","adjective","","Le nombre est vingt.","Lernen & Bildung","",""
"767","trente","dreißig","adjective","","Le nombre est trente.","Lernen & Bildung","",""
"768","quarante","vierzig","adjective","","Le nombre est quarante.","Lernen & Bildung","",""
"769","cinquante","fünfzig","adjective","","Le nombre est cinquante.","Lernen & Bildung","",""
"770","cent","hundert","adjective","","Le nombre est cent.","Lernen & Bildung","",""
"771","mille","tausend","adjective","","Le nombre est mille.","Lernen & Bildung","",""
"772","beaucoup de","viel","adjective","","Nous avons beaucoup de devoirs aujourd'hui.","Lernen & Bildung","",""
"773","un peu de","ein wenig","adjective","","J'ai un peu de temps.","Lernen & Bildung","",""
"774","assez de","genug","adjective","","Nous avons assez de place.","Lernen & Bildung","",""
"775","plus de","mehr","adjective","","Il faut plus de temps.","Lernen & Bildung","",""
"776","moins de","weniger","adjective","","Il y a moins de bruit ici.","Lernen & Bildung","",""
"777","le kilo","das Kilo","noun","m","Aujourd'hui, le cours porte sur le kilo.","Lernen & Bildung","",""
"778","le litre","der Liter","noun","m","Aujourd'hui, le cours porte sur le litre.","Lernen & Bildung","",""
"779","le mètre","der Meter","noun","m","Aujourd'hui, le cours porte sur le mètre.","Lernen & Bildung","",""
"780","j'ai deux frères","ich habe zwei Brüder","phrase","","J'ai deux frères et une sœur.","Lernen & Bildung","",""
"781","ça coûte dix euros","das kostet zehn Euro","phrase","","Excusez-moi, ça coûte dix euros ?","Lernen & Bildung","",""
"782","un kilo de pommes","ein Kilo Äpfel","phrase","","Je voudrais un kilo de pommes, s'il vous plaît.","Lernen & Bildung","",""
"783","beaucoup de travail","viel Arbeit","phrase","","J'ai beaucoup de travail cette semaine.","Lernen & Bildung","",""
"784","un peu d'eau","ein wenig Wasser","noun","","Il reste encore un peu d'eau dans la bouteille.","Lernen & Bildung","",""
"788","se brosser les dents","sich die Zähne putzen","verb","","Je me brosse les dents avant de dormir.","Zahlen & Zeit","",""
"789","prendre le petit déjeuner","frühstücken","phrase","","Dans la vie quotidienne, on peut prendre le petit déjeuner.","Zahlen & Zeit","",""
"790","quitter la maison","das Haus verlassen","phrase","","Dans la vie quotidienne, on peut quitter la maison.","Zahlen & Zeit","",""
"791","rentrer","zurückkommen","verb","","Dans la vie quotidienne, on peut rentrer.","Zahlen & Zeit","",""
"792","se reposer","sich ausruhen","verb","","Le dimanche, je me repose à la maison.","Zahlen & Zeit","",""
"793","faire une pause","eine Pause machen","phrase","","Dans la vie quotidienne, on peut faire une pause.","Zahlen & Zeit","",""
"794","se promener","spazieren gehen","verb","","Le soir, ils se promènent le long du fleuve.","Zahlen & Zeit","",""
"795","se connecter","sich einloggen","verb","","Je me connecte à mon compte tous les matins.","Zahlen & Zeit","",""
"796","le réveil","der Wecker","noun","m","Dans la vie quotidienne, on parle souvent de le réveil.","Zahlen & Zeit","",""
"797","la pause","die Pause","noun","f","À midi, nous faisons une pause.","Zahlen & Zeit","",""
"798","la routine","die Routine","noun","f","Dans la vie quotidienne, on parle souvent de la routine.","Zahlen & Zeit","",""
"799","le trajet","der Weg; die Strecke","noun","m","Dans la vie quotidienne, on parle souvent de le trajet.","Zahlen & Zeit","",""
"800","la journée","der Tag","noun","f","Ma journée commence très tôt.","Zahlen & Zeit","",""
"801","la soirée","der Abend","noun","f","Dans la vie quotidienne, on parle souvent de la soirée.","Zahlen & Zeit","",""
"802","je me lève à sept heures","ich stehe um sieben Uhr auf","phrase","","Je me lève à sept heures.","Zahlen & Zeit","",""
"803","je prends le petit déjeuner","ich frühstücke","phrase","","Je prends le petit déjeuner.","Zahlen & Zeit","",""
"804","je rentre à la maison","ich komme nach Hause zurück","phrase","","Je rentre à la maison.","Zahlen & Zeit","",""
"805","après l'école","nach der Schule","phrase","","Après l'école.","Zahlen & Zeit","",""
"806","avant de dormir","vor dem Schlafen","phrase","","Avant de dormir.","Zahlen & Zeit","",""
"807","je suis en retard","ich bin zu spät","phrase","","Désolé, je suis en retard aujourd'hui.","Zahlen & Zeit","",""
"960","le","der; die; das","pronoun","","Le livre est ici.","Lernen & Bildung","",""
"961","la","die","pronoun","","La porte est ouverte.","Lernen & Bildung","",""
"962","les","die","pronoun","","Les enfants jouent dehors.","Lernen & Bildung","",""
"963","un","ein","pronoun","","Un ami arrive.","Lernen & Bildung","",""
"964","une","eine","pronoun","","Une idée suffit.","Lernen & Bildung","",""
"965","des","einige","pronoun","","Des élèves attendent.","Lernen & Bildung","",""
"969","cet","dieser","pronoun","","Cet exercice est facile.","Lernen & Bildung","",""
"970","c'est","das ist","phrase","","C'est une très bonne idée.","Lernen & Bildung","",""
"971","ce sont","das sind","phrase","","Ce sont mes amis de classe.","Lernen & Bildung","",""
"972","il y a","es gibt","phrase","","Je l'ai rencontré il y a deux ans.","Lernen & Bildung","",""
"2017","le stylo à bille","der Kugelschreiber","noun","m","J'écris avec un stylo à bille bleu.","Schule","",""
"2018","le crayon de couleur","der Buntstift","noun","m","Elle colorie le soleil avec un crayon de couleur jaune.","Schule","",""
"2019","le taille-crayon","der Anspitzer","noun","m","On voit le taille-crayon sur la photo.","Schule","",""
"2030","la réponse correcte","die richtige Antwort","noun","f","C'est la réponse correcte.","Schule","",""
"2031","la réponse fausse","die falsche Antwort","noun","f","Aujourd'hui, le cours porte sur la réponse fausse.","Schule","",""
"2032","la bonne note","die gute Note","noun","f","Il a eu une bonne note en français.","Schule","",""
"2033","la mauvaise note","die schlechte Note","noun","f","Aujourd'hui, le cours porte sur la mauvaise note.","Schule","",""
"2046","la pause déjeuner","die Mittagspause","noun","f","Aujourd'hui, le cours porte sur la pause déjeuner.","Schule","",""
"2062","préparer son sac","seine Tasche vorbereiten","phrase","","Je prépare mon sac la veille.","Schule","",""
"2063","oublier son cahier","sein Heft vergessen","phrase","","En classe, on peut oublier son cahier.","Schule","",""
"2064","noter la date","das Datum aufschreiben","phrase","","Note la date en haut de la page.","Schule","",""
"2065","copier la phrase","den Satz abschreiben","phrase","","En classe, on peut copier la phrase.","Schule","",""
"2070","lever la main","die Hand heben","phrase","","Tu dois lever la main pour parler.","Schule","",""
"2071","donner une réponse","eine Antwort geben","phrase","","Chaque élève doit donner une réponse.","Schule","",""
"2073","recevoir une note","eine Note bekommen","phrase","","En classe, on peut recevoir une note.","Schule","",""
"2087","aller à la bibliothèque","in die Bibliothek gehen","phrase","","En classe, on peut aller à la bibliothèque.","Schule","",""
"2096","j'ai oublié mon cahier","ich habe mein Heft vergessen","phrase","","J'ai oublié mon cahier.","Schule","",""
"2099","je peux poser une question","darf ich eine Frage stellen","phrase","","Je peux poser une question avant l'exercice ?","Schule","",""
"2103","ouvrez votre cahier d'exercices","öffnet euer Arbeitsheft","phrase","","Ouvrez votre cahier d'exercices.","Schule","",""
"2120","le bébé","das Baby","noun","m","Dans la vie quotidienne, on parle souvent de le bébé.","Familie & Freunde","",""
"2123","le repas de famille","das Familienessen","noun","m","Dans la vie quotidienne, on parle souvent de le repas de famille.","Familie & Freunde","",""
"2124","la photo de famille","das Familienfoto","noun","f","Dans la vie quotidienne, on parle souvent de la photo de famille.","Familie & Freunde","",""
"2129","le meilleur ami","der beste Freund","noun","m","Mon meilleur ami habite près de chez moi.","Familie & Freunde","",""
